"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Pressure","Temperature","Mach","Pressure_Coefficient","Laminar_Viscosity","Skin_Friction_Coefficient_x","Skin_Friction_Coefficient_y","Heat_Flux","Y_Plus"
0, 0.000000000000000e+00, 0.000000000000000e+00, 1.166755294636069e+01, 0.000000000000000e+00, 0.000000000000000e+00, 9.597502656988408e+05, 3.839001062795362e+05, 1.146453792395353e+02, 0.000000000000000e+00, -8.644482315167265e+01, 1.000000000000000e+01, 0.000000000000000e+00, 0.000000000000000e+00, -2.809068133274845e+07, 0.000000000000000e+00
1, 7.812500000000000e-03, 0.000000000000000e+00, 1.244231534932696e+01, 0.000000000000000e+00, 0.000000000000000e+00, 9.328018702059973e+05, 3.731207480823988e+05, 1.044879716089462e+02, 0.000000000000000e+00, -8.802879927173635e+01, 1.000000000000000e+01, -3.997089605037476e+00, 0.000000000000000e+00, 6.815672965587601e+07, 4.545008622917614e-01
2, 1.562500000000000e-02, 0.000000000000000e+00, 1.273100807053529e+01, 0.000000000000000e+00, 0.000000000000000e+00, 9.826031135828465e+05, 3.930412454331386e+05, 1.075705618767299e+02, 0.000000000000000e+00, -8.510157563501340e+01, 1.000000000000000e+01, -3.438054368879025e+00, 0.000000000000000e+00, 1.340629173064794e+08, 4.263830522294713e-01
3, 2.343750000000000e-02, 0.000000000000000e+00, 1.294178910523150e+01, 0.000000000000000e+00, 0.000000000000000e+00, 1.014236965486971e+06, 4.056947861947883e+05, 1.092252911951812e+02, 0.000000000000000e+00, -8.324219717906524e+01, 1.000000000000000e+01, -1.222830320497630e+00, 0.000000000000000e+00, 1.606154284396075e+08, 2.563848895805347e-01
4, 3.125000000000000e-02, 0.000000000000000e+00, 1.309826885166289e+01, 0.000000000000000e+00, 0.000000000000000e+00, 1.039321296893110e+06, 4.157285187572442e+05, 1.105895321470189e+02, 0.000000000000000e+00, -8.176778724821646e+01, 1.000000000000000e+01, 8.909999836634833e-01, 0.000000000000000e+00, 1.716124114612489e+08, 2.201699103107786e-01
5, 3.906250000000000e-02, 0.000000000000000e+00, 1.315478832676703e+01, 0.000000000000000e+00, 0.000000000000000e+00, 1.050196200877977e+06, 4.200784803511908e+05, 1.112665630559087e+02, 0.000000000000000e+00, -8.112858079807407e+01, 1.000000000000000e+01, 2.342510024924000e+00, 0.000000000000000e+00, 1.763483185537235e+08, 3.577625097186553e-01
6, 4.687500000000000e-02, 0.000000000000000e+00, 1.314651966280312e+01, 0.000000000000000e+00, 0.000000000000000e+00, 1.049887992490042e+06, 4.199551969960165e+05, 1.113038708076238e+02, 0.000000000000000e+00, -8.114669670878284e+01, 1.000000000000000e+01, 3.084702268584709e+00, 0.000000000000000e+00, 1.786404111213845e+08, 4.104159130770649e-01
7, 5.468750000000000e-02, 0.000000000000000e+00, 1.313201335046929e+01, 0.000000000000000e+00, 0.000000000000000e+00, 1.047760603502620e+06, 4.191042414010480e+05, 1.112010386429647e+02, 0.000000000000000e+00, -8.127174064154896e+01, 1.000000000000000e+01, 3.354123697823586e+00, 0.000000000000000e+00, 1.796240369066738e+08, 4.277276863533193e-01
8, 6.250000000000000e-02, 0.000000000000000e+00, 1.312551022966908e+01, 0.000000000000000e+00, 0.000000000000000e+00, 1.046674196950765e+06, 4.186696787803060e+05, 1.111407741906330e+02, 0.000000000000000e+00, -8.133559758009197e+01, 1.000000000000000e+01, 3.413485077473308e+00, 0.000000000000000e+00, 1.799239267737910e+08, 4.313892007959157e-01
9, 7.031250000000000e-02, 0.000000000000000e+00, 1.312368721218669e+01, 0.000000000000000e+00, 0.000000000000000e+00, 1.046341323905272e+06, 4.185365295621085e+05, 1.111208618763879e+02, 0.000000000000000e+00, -8.135516323309029e+01, 1.000000000000000e+01, 3.412203299819108e+00, 0.000000000000000e+00, 1.799676988362349e+08, 4.312782454930388e-01
10, 7.812500000000000e-02, 0.000000000000000e+00, 1.312334954372857e+01, 0.000000000000000e+00, 0.000000000000000e+00, 1.046271271140444e+06, 4.185085084561775e+05, 1.111162812999776e+02, 0.000000000000000e+00, -8.135928080315718e+01, 1.000000000000000e+01, 3.404919447546088e+00, 0.000000000000000e+00, 1.799556774773122e+08, 4.308121435600181e-01
11, 8.593750000000000e-02, 0.000000000000000e+00, 1.312339928107206e+01, 0.000000000000000e+00, 0.000000000000000e+00, 1.046276483605174e+06, 4.185105934420694e+05, 1.111164137451252e+02, 0.000000000000000e+00, -8.135897442426121e+01, 1.000000000000000e+01, 3.401665811163434e+00, 0.000000000000000e+00, 1.799452563130441e+08, 4.306070749373722e-01
12, 9.375000000000000e-02, 0.000000000000000e+00, 1.312347036859834e+01, 0.000000000000000e+00, 0.000000000000000e+00, 1.046288892567204e+06, 4.185155570268815e+05, 1.111171296936780e+02, 0.000000000000000e+00, -8.135824504875772e+01, 1.000000000000000e+01, 3.401275034676367e+00, 0.000000000000000e+00, 1.799423414196934e+08, 4.305835067912199e-01
