"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Pressure","Temperature","Mach","Pressure_Coefficient","Laminar_Viscosity","Skin_Friction_Coefficient_x","Skin_Friction_Coefficient_y","Heat_Flux","Y_Plus"
0, 0.000000000000000e+00, 0.000000000000000e+00, 1.175302210713755e+01, 0.000000000000000e+00, 0.000000000000000e+00, 2.428368381559989e+06, 9.713473526239954e+05, 2.879672579835571e+02, 0.000000000000000e+00, -1.222060728656032e-01, 1.000000000000000e+01, 0.000000000000000e+00, 0.000000000000000e+00, 1.639725526228754e+05, 0.000000000000000e+00
1, 3.125000000000000e-02, 0.000000000000000e+00, 1.175559391480621e+01, 0.000000000000000e+00, 0.000000000000000e+00, 2.431997679599479e+06, 9.727990718397911e+05, 2.883345434423938e+02, 0.000000000000000e+00, 9.111725574116862e-02, 1.000000000000000e+01, 1.594218417042881e+00, 0.000000000000000e+00, -1.013181986414246e+05, 1.116010696806107e+00
2, 6.250000000000000e-02, 0.000000000000000e+00, 1.175562798148594e+01, 0.000000000000000e+00, 0.000000000000000e+00, 2.432009817638821e+06, 9.728039270555284e+05, 2.883351469429016e+02, 0.000000000000000e+00, 9.183070691747325e-02, 1.000000000000000e+01, 1.600682271474930e+00, 0.000000000000000e+00, -7.690865213332271e+04, 1.118272494679378e+00
3, 9.375000000000000e-02, 0.000000000000000e+00, 1.175562098230285e+01, 0.000000000000000e+00, 0.000000000000000e+00, 2.432007754811958e+06, 9.728031019247832e+05, 2.883350740493017e+02, 0.000000000000000e+00, 9.170945782523575e-02, 1.000000000000000e+01, 1.599029572283278e+00, 0.000000000000000e+00, -8.196747636570952e+04, 1.117694706513190e+00
4, 1.250000000000000e-01, 0.000000000000000e+00, 1.175562094692579e+01, 0.000000000000000e+00, 0.000000000000000e+00, 2.432007743943568e+06, 9.728030975774270e+05, 2.883350736284701e+02, 0.000000000000000e+00, 9.170881900164297e-02, 1.000000000000000e+01, 1.599015094242302e+00, 0.000000000000000e+00, -8.201476751816942e+04, 1.117689644866714e+00
5, 1.562500000000000e-01, 0.000000000000000e+00, 1.175562094927897e+01, 0.000000000000000e+00, 0.000000000000000e+00, 2.432007744650280e+06, 9.728030978601116e+05, 2.883350736545393e+02, 0.000000000000000e+00, 9.170886054081501e-02, 1.000000000000000e+01, 1.599016137924430e+00, 0.000000000000000e+00, -8.201144093370685e+04, 1.117690009738276e+00
6, 1.875000000000000e-01, 0.000000000000000e+00, 1.175562094929423e+01, 0.000000000000000e+00, 0.000000000000000e+00, 2.432007744654990e+06, 9.728030978619959e+05, 2.883350736547235e+02, 0.000000000000000e+00, 9.170886081770381e-02, 1.000000000000000e+01, 1.599016146679280e+00, 0.000000000000000e+00, -8.201141237932877e+04, 1.117690012798761e+00
7, 2.187500000000000e-01, 0.000000000000000e+00, 1.175562094929381e+01, 0.000000000000000e+00, 0.000000000000000e+00, 2.432007744654864e+06, 9.728030978619455e+05, 2.883350736547188e+02, 0.000000000000000e+00, 9.170886081029662e-02, 1.000000000000000e+01, 1.599016146428723e+00, 0.000000000000000e+00, -8.201141317772806e+04, 1.117690012711173e+00
8, 2.500000000000000e-01, 0.000000000000000e+00, 1.175562094929381e+01, 0.000000000000000e+00, 0.000000000000000e+00, 2.432007744654863e+06, 9.728030978619450e+05, 2.883350736547188e+02, 0.000000000000000e+00, 9.170886081022819e-02, 1.000000000000000e+01, 1.599016146426648e+00, 0.000000000000000e+00, -8.201141318440232e+04, 1.117690012710447e+00
9, 2.812500000000000e-01, 0.000000000000000e+00, 1.175562094929381e+01, 0.000000000000000e+00, 0.000000000000000e+00, 2.432007744654863e+06, 9.728030978619450e+05, 2.883350736547188e+02, 0.000000000000000e+00, 9.170886081022819e-02, 1.000000000000000e+01, 1.599016146426664e+00, 0.000000000000000e+00, -8.201141318435156e+04, 1.117690012710453e+00
10, 3.125000000000000e-01, 0.000000000000000e+00, 1.175562094929381e+01, 0.000000000000000e+00, 0.000000000000000e+00, 2.432007744654863e+06, 9.728030978619450e+05, 2.883350736547188e+02, 0.000000000000000e+00, 9.170886081022819e-02, 1.000000000000000e+01, 1.599016146426665e+00, 0.000000000000000e+00, -8.201141318435156e+04, 1.117690012710453e+00
11, 3.437500000000000e-01, 0.000000000000000e+00, 1.175562094929381e+01, 0.000000000000000e+00, 0.000000000000000e+00, 2.432007744654863e+06, 9.728030978619450e+05, 2.883350736547188e+02, 0.000000000000000e+00, 9.170886081022819e-02, 1.000000000000000e+01, 1.599016146426665e+00, 0.000000000000000e+00, -8.201141318435156e+04, 1.117690012710453e+00
