CC FILENAME: P30V.JET  
CC Propane Jet in Coflowing Air Stream
CC Radial Velocity Profile Measured using LDV
CC LDV Seed Added to JET Stream  
CC Axial Position, x/D=  30
CC Bulk Jet Velocity=53 m/s, Jet Reynolds No.=68168
CC x/D     y/D  U mean   V mean  Urms    Vrms      UV 
CC               (m/s)    (m/s)  (m/s)   (m/s)   (m/s)*2
 30.000	-3.4300	10.413	-1.3571	2.4218	2.9225	-2.1307		
 30.000	-3.1100	11.463	-1.4881	3.0249	3.0975	-2.9676		
 30.000	-2.8000	12.844	-1.6550	3.4368	3.2732	-4.1565	
 30.000	-2.5000	14.629	-1.9000	3.8151	3.5271	-5.3436	
 30.000	-2.1900	16.119	-2.0100	4.1540	3.6561	-6.5055	
 30.000	-1.8900	18.209	-2.0700	4.2724	3.7468	-6.8145	
 30.000	-1.5900	19.967	-2.0200	4.4400	3.8300	-6.6033	
 30.000	-1.2600	21.928	-1.8211	4.3500	3.8739	-6.0105	
 30.000	-0.9600	23.674	-1.5529	4.4000	3.9430	-5.2533	
 30.000	-0.6600	25.220	-1.2639	4.3400	3.9105	-3.8157	
 30.000	-0.3450	26.531	-0.6000	4.2814	3.8927	-2.1034	
 30.000	-0.2400	26.823	-0.4000	4.2814	3.8927	-1.3800	
 30.000	0.0000	27.191	-0.0020	4.2830	3.8879	0.00230	
 30.000	0.05000	27.028	0.23750	4.3200	3.8306	0.6222		
 30.000	0.36000	26.539	0.85000	4.3400	3.9039	2.5776		
 30.000	0.66000	25.220	1.26390	4.3400	3.9105	3.8157		
 30.000	0.96000	23.674	1.55290	4.4000	3.9492	5.2533		
 30.000	1.2600	21.928	1.82110	4.4350	3.8739	6.0105		
 30.000	1.5900	19.967	2.02000	4.4400	3.8525	6.6033		
 30.000	1.8900	18.209	2.07000	4.2724	3.7468	6.8145		
 30.000	2.1900	16.119	2.01000	4.1540	3.6561	6.5505		
 30.000	2.5000	14.629	1.90000	3.8151	3.5271	5.3436		
 30.000	2.8000	12.844	1.65500	3.4368	3.2732	4.1565		
 30.000	3.1100	11.463	1.48810	3.0249	3.0975	2.9676		
 30.000	3.4300	10.413	1.35710	2.4218	2.9225	2.1307		
