"Density","Diffusivity_0","Eddy_Viscosity","Heat_Capacity","Heat_Flux","Laminar_Viscosity","Omega","Pressure","Pressure_Coefficient","Residual_Omega","Residual_Pressure","Residual_Species_0","Residual_TKE","Residual_Velocity:0","Residual_Velocity:1","Residual_Velocity:2","Skin_Friction_Coefficient:0","Skin_Friction_Coefficient:1","Skin_Friction_Coefficient:2","Species_0","Thermal_Conductivity","Turb_Kin_Energy","Velocity:0","Velocity:1","Velocity:2","Y_Plus","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.8279,5.8291e-06,6.8505e-05,1680,0,8.04e-06,8139.7,-63.243,-0.024633,8.3844e-13,-6.9389e-18,6.5056e-30,9.4868e-17,-1.0266e-15,6.8416e-16,0,0,0,0,1,0.14578,0.30506,65.528,0.020009,0,0,1,0,0,0,0
1.8279,5.8291e-06,6.975e-05,1680,0,8.04e-06,8185.9,-47.691,-0.018575,3.4397e-13,-8.4439e-17,-1.3053e-24,3.4133e-17,-5.2449e-15,-1.0869e-14,0,0,0,0,1,0.1481,0.31237,65.433,0.022258,0,0,1,0.0004208,0.0004208,0,0
1.8279,5.8291e-06,7.1035e-05,1680,0,8.04e-06,8232.6,-40.401,-0.015736,-4.7237e-14,-2.5189e-16,9.9847e-24,2.889e-18,-1.8031e-14,-4.1383e-14,0,0,0,0,1,0.1505,0.31994,65.355,0.024802,0,0,1,0.0008416,0.0008416,0,0
1.8279,5.8291e-06,7.2377e-05,1680,0,8.04e-06,8281.1,-32.604,-0.012699,4.4794e-14,-4.0965e-16,1.2288e-18,5.8425e-18,-2.7992e-14,-6.3438e-14,0,0,0,0,1,0.153,0.3279,65.275,0.024405,0,0,1,0.0012624,0.0012624,0,0
1.8279,5.8291e-06,7.3775e-05,1680,0,8.04e-06,8331.3,-25.051,-0.0097571,-7.0024e-14,-5.7725e-16,-5.5455e-18,8.5133e-19,-3.9495e-14,-8.8831e-14,0,0,0,0,1,0.15561,0.33626,65.202,0.021959,0,0,1,0.0016832,0.0016832,0,0
1.8279,5.8291e-06,7.5238e-05,1680,0,8.04e-06,8383.3,-18.367,-0.0071539,-1.2544e-13,-7.445e-16,3.341e-18,-8.6109e-18,-5.0013e-14,-1.1156e-13,0,0,0,0,1,0.15835,0.34508,65.138,0.018679,0,0,1,0.002104,0.002104,0,0
1.8279,5.8291e-06,7.6764e-05,1680,0,8.04e-06,8437.1,-12.673,-0.0049362,-2.5466e-13,-9.1462e-16,3.3712e-18,-1.6128e-17,-6.1168e-14,-1.3247e-13,0,0,0,0,1,0.16119,0.35434,65.086,0.01543,0,0,1,0.0025248,0.0025248,0,0
1.8279,5.8291e-06,7.8357e-05,1680,0,8.04e-06,8492.9,-8.0256,-0.0031259,-4.2054e-13,-1.0586e-15,2.1872e-18,-2.8447e-17,-7.1069e-14,-1.505e-13,0,0,0,0,1,0.16417,0.36409,65.043,0.012561,0,0,1,0.0029456,0.0029456,0,0
1.8279,5.8291e-06,8.002e-05,1680,0,8.04e-06,8550.5,-4.3088,-0.0016782,-5.4013e-13,-1.1901e-15,-2.4235e-19,-4.0161e-17,-7.9814e-14,-1.6572e-13,0,0,0,0,1,0.16727,0.37435,65.008,0.010187,0,0,1,0.0033664,0.0033664,0,0
1.8279,5.8291e-06,8.1744e-05,1680,0,8.04e-06,8610,-1.3061,-0.00050871,-6.373e-13,-1.315e-15,3.7185e-18,-4.6707e-17,-8.6321e-14,-1.7791e-13,0,0,0,0,1,0.17049,0.38505,64.978,0.0082499,0,0,1,0.0037872,0.0037872,0,0
1.8279,5.8291e-06,8.3578e-05,1680,0,8.04e-06,8672.4,0.75198,0.00029289,-8.2889e-13,-1.3763e-15,1.3209e-18,-5.9564e-17,-9.1681e-14,-1.8629e-13,0,0,0,0,1,0.17391,0.39657,64.956,0.0069581,0,0,1,0.004208,0.004208,0,0
1.8279,5.8291e-06,8.5482e-05,1680,0,8.04e-06,8736.6,2.4257,0.00094481,-1.0042e-12,-1.4386e-15,-6.8593e-19,-7.2529e-17,-9.6305e-14,-1.9302e-13,0,0,0,0,1,0.17747,0.40862,64.935,0.0059439,0,0,1,0.0046288,0.0046288,0,0
1.8279,5.8291e-06,8.7463e-05,1680,0,8.04e-06,8802.9,3.6727,0.0014305,-1.1613e-12,-1.5019e-15,-2.2587e-18,-8.5615e-17,-1.0011e-13,-1.9794e-13,0,0,0,0,1,0.18116,0.42126,64.918,0.0052381,0,0,1,0.0050496,0.0050496,0,0
1.8279,5.8291e-06,8.9561e-05,1680,0,8.04e-06,8871.9,4.5669,0.0017788,-1.3045e-12,-1.5362e-15,-1.8087e-18,-9.9227e-17,-1.0179e-13,-2.0009e-13,0,0,0,0,1,0.18508,0.43479,64.902,0.0047968,0,0,1,0.0054704,0.0054704,0,0
1.8279,5.8291e-06,9.1733e-05,1680,0,8.04e-06,8942.8,5.2355,0.0020392,-1.4387e-12,-1.552e-15,-6.5093e-20,-1.1318e-16,-1.0212e-13,-2.0046e-13,0,0,0,0,1,0.18914,0.44889,64.887,0.0045244,0,0,1,0.0058912,0.0058912,0,0
1.8279,5.8291e-06,9.4009e-05,1680,0,8.04e-06,9016,5.7551,0.0022416,-1.5992e-12,-1.5523e-15,1.444e-18,-1.2819e-16,-1.0198e-13,-1.9946e-13,0,0,0,0,1,0.19338,0.4638,64.872,0.0043715,0,0,1,0.006312,0.006312,0,0
1.8279,5.8291e-06,9.6431e-05,1680,0,8.04e-06,9092.4,6.0665,0.0023629,-1.7963e-12,-1.5308e-15,2.6253e-18,-1.4467e-16,-1.0118e-13,-1.9653e-13,0,0,0,0,1,0.1979,0.47984,64.858,0.0043853,0,0,1,0.0067328,0.0067328,0,0
1.8279,5.8291e-06,9.8852e-05,1680,0,8.04e-06,9168.8,6.3779,0.0024842,-1.9934e-12,-1.5092e-15,3.8066e-18,-1.6116e-16,-1.0037e-13,-1.936e-13,0,0,0,0,1,0.20242,0.49589,64.843,0.0043991,0,0,1,0.0071536,0.0071536,0,0
1.8279,5.8291e-06,0.00010155,1680,0,8.04e-06,9250.5,6.5367,0.002546,-2.1155e-12,-1.4636e-15,2.6018e-18,-1.7754e-16,-9.7175e-14,-1.8677e-13,0,0,0,0,1,0.20746,0.51415,64.828,0.0045637,0,0,1,0.0075744,0.0075744,0,0
1.8279,5.8291e-06,0.0001043,1680,0,8.04e-06,9333.3,6.6659,0.0025963,-2.2231e-12,-1.4133e-15,9.3366e-19,-1.9391e-16,-9.3517e-14,-1.7919e-13,0,0,0,0,1,0.21259,0.53283,64.812,0.0047575,0,0,1,0.0079952,0.0079952,0,0
1.8279,5.8291e-06,0.00010705,1680,0,8.04e-06,9416,6.7951,0.0026466,-2.3306e-12,-1.363e-15,-7.3449e-19,-2.1027e-16,-8.9859e-14,-1.7161e-13,0,0,0,0,1,0.21772,0.55152,64.796,0.0049514,0,0,1,0.008416,0.008416,0,0
1.8279,5.8291e-06,0.00011015,1680,0,8.04e-06,9504.7,6.8728,0.0026769,-2.4513e-12,-1.3001e-15,-3.3505e-19,-2.2937e-16,-8.5492e-14,-1.6321e-13,0,0,0,0,1,0.22352,0.57314,64.778,0.0052462,0,0,1,0.0088368,0.0088368,0,0
1.8279,5.8291e-06,0.00011335,1680,0,8.04e-06,9594.8,6.9379,0.0027023,-2.5752e-12,-1.234e-15,5.7365e-19,-2.4913e-16,-8.0951e-14,-1.5461e-13,0,0,0,0,1,0.22948,0.59549,64.759,0.0055658,0,0,1,0.0092576,0.0092576,0,0
1.8279,5.8291e-06,0.00011654,1680,0,8.04e-06,9684.9,7.0029,0.0027276,-2.699e-12,-1.1679e-15,1.4824e-18,-2.689e-16,-7.641e-14,-1.4601e-13,0,0,0,0,1,0.23544,0.61783,64.741,0.0058854,0,0,1,0.0096784,0.0096784,0,0
1.8279,5.8291e-06,0.00011988,1680,0,8.04e-06,9776.9,7.07,0.0027537,-2.8066e-12,-1.1009e-15,2.3363e-18,-2.8813e-16,-7.1876e-14,-1.3728e-13,0,0,0,0,1,0.24167,0.64139,64.721,0.0062322,0,0,1,0.010099,0.010099,0,0
1.8279,5.8291e-06,0.00012368,1680,0,8.04e-06,9875.6,7.1439,0.0027825,-2.8601e-12,-1.0307e-15,3.0088e-18,-3.0557e-16,-6.7367e-14,-1.2812e-13,0,0,0,0,0.99999,0.24877,0.66899,64.697,0.0066691,0,0,1,0.01052,0.01052,0,0
1.8279,5.8291e-06,0.00012749,1680,0,8.0401e-06,9974.2,7.2177,0.0028113,-2.9136e-12,-9.6048e-16,3.6813e-18,-3.2301e-16,-6.2858e-14,-1.1895e-13,0,0,0,0,0.99999,0.25588,0.69658,64.673,0.007106,0,0,1,0.010941,0.010941,0,0
