"Density","Diffusivity_0","Eddy_Viscosity","Heat_Capacity","Heat_Flux","Laminar_Viscosity","Omega","Pressure","Pressure_Coefficient","Residual_Omega","Residual_Pressure","Residual_Species_0","Residual_TKE","Residual_Velocity:0","Residual_Velocity:1","Residual_Velocity:2","Skin_Friction_Coefficient:0","Skin_Friction_Coefficient:1","Skin_Friction_Coefficient:2","Species_0","Thermal_Conductivity","Turb_Kin_Energy","Velocity:0","Velocity:1","Velocity:2","Y_Plus","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.8279,5.8291e-06,0.00015128,1680,0,8.04e-06,10119,-63.099,-0.024577,-1.0416e-11,1.3878e-17,1.5015e-20,-1.8694e-15,8.1519e-16,-1.31e-15,0,0,0,0,1,0.30029,0.83751,65.412,0.022555,0,0,1,0,0,0,0
1.8279,5.8291e-06,0.00021576,1680,0,8.04e-06,11071,-63.451,-0.024714,-9.8668e-12,1.2469e-17,1.8684e-18,-2.3237e-15,7.402e-16,-9.2721e-16,0,0,0,0,1,0.42065,1.442,65.074,0.030719,0,0,1,0.0001052,0,0.0001052,0
1.8279,5.8291e-06,0.00028024,1680,0,8.04e-06,12022,-63.802,-0.024851,-9.318e-12,1.1059e-17,3.7218e-18,-2.7781e-15,6.6521e-16,-5.4444e-16,0,0,0,0,1,0.54101,2.0464,64.736,0.038883,0,0,1,0.0002104,0,0.0002104,0
1.8279,5.8291e-06,0.00034472,1680,0,8.04e-06,12973,-64.154,-0.024987,-8.7692e-12,9.6501e-18,5.5752e-18,-3.2325e-15,5.9022e-16,-1.6167e-16,0,0,0,0,1,0.66137,2.6509,64.398,0.047047,0,0,1,0.0003156,0,0.0003156,0
1.8279,5.8291e-06,0.0004092,1680,0,8.04e-06,13924,-64.505,-0.025124,-8.2203e-12,8.2409e-18,7.4286e-18,-3.6868e-15,5.1523e-16,2.211e-16,0,0,0,0,1,0.78173,3.2554,64.061,0.055211,0,0,1,0.0004208,0,0.0004208,0
1.8279,5.8291e-06,0.00047367,1680,0,8.04e-06,14876,-64.856,-0.025261,-7.6715e-12,6.8317e-18,9.2821e-18,-4.1412e-15,4.4024e-16,6.0388e-16,0,0,0,0,1,0.90209,3.8598,63.723,0.063375,0,0,1,0.000526,0,0.000526,0
1.8279,5.8291e-06,0.00056174,1680,0,8.04e-06,15873,-65.859,-0.025652,-6.595e-12,4.3534e-18,1.0248e-17,-3.8135e-15,3.3846e-16,6.615e-16,0,0,0,0,1,1.0665,5.0217,63.078,0.073734,0,0,1,0.0006312,0,0.0006312,0
1.8279,5.8291e-06,0.00065052,1680,0,8.04e-06,16871,-66.882,-0.02605,-5.5024e-12,1.8425e-18,1.1187e-17,-3.4619e-15,2.3585e-16,7.0918e-16,0,0,0,0,1,1.2322,6.2005,62.423,0.084161,0,0,1,0.0007364,0,0.0007364,0
1.8279,5.8291e-06,0.0007393,1680,0,8.04e-06,17870,-67.905,-0.026449,-4.4098e-12,-6.6846e-19,1.2126e-17,-3.1104e-15,1.3324e-16,7.5686e-16,0,0,0,0,1,1.3979,7.3794,61.768,0.094588,0,0,1,0.0008416,0,0.0008416,0
1.8279,5.8291e-06,0.00082809,1680,0,8.04e-06,18868,-68.928,-0.026847,-3.3171e-12,-3.1794e-18,1.3065e-17,-2.7588e-15,3.0637e-17,8.0454e-16,0,0,0,0,1,1.5637,8.5583,61.114,0.10502,0,0,1,0.0009468,0,0.0009468,0
1.8279,5.8291e-06,0.00087179,1680,0,8.04e-06,19833,-70.574,-0.027488,-3.1838e-12,-1.7474e-18,5.6167e-18,-2.8901e-15,-1.4968e-16,8.2127e-16,0,0,0,0,1,1.6452,9.5059,60.422,0.11645,0,0,1,0.001052,0,0.001052,0
1.8279,5.8291e-06,0.00091294,1680,0,8.04e-06,20796,-72.256,-0.028143,-3.1046e-12,-9.2829e-20,-2.3048e-18,-3.0487e-15,-3.3439e-16,8.3625e-16,0,0,0,0,1,1.7221,10.44,59.727,0.12794,0,0,1,0.0011572,0,0.0011572,0
1.8279,5.8291e-06,0.0009541,1680,0,8.04e-06,21759,-73.937,-0.028798,-3.0254e-12,1.5618e-18,-1.0226e-17,-3.2072e-15,-5.191e-16,8.5124e-16,0,0,0,0,1,1.7989,11.375,59.033,0.13943,0,0,1,0.0012624,0,0.0012624,0
1.8279,5.8291e-06,0.00096622,1680,0,8.04e-06,23130,-76.031,-0.029614,-3.1115e-12,1.7704e-18,-6.3908e-18,-3.3085e-15,-3.316e-16,6.2031e-16,0,0,0,0,1,1.8215,12.228,58.276,0.15142,0,0,1,0.0013676,0,0.0013676,0
1.8279,5.8291e-06,0.00096746,1680,0,8.04e-06,24654,-78.278,-0.030489,-3.2595e-12,1.4375e-18,1.8472e-18,-3.3883e-15,-4.7242e-18,2.973e-16,0,0,0,0,1,1.8238,13.051,57.495,0.1636,0,0,1,0.0014728,0,0.0014728,0
1.8279,5.8291e-06,0.0009637,1680,0,8.04e-06,26317,-80.627,-0.031404,-3.1126e-12,6.9056e-19,8.6614e-18,-3.1892e-15,2.7572e-16,2.7683e-17,0,0,0,0,1,1.8168,13.863,56.694,0.1759,0,0,1,0.001578,0,0.001578,0
1.8279,5.8291e-06,0.00093207,1680,0,8.04e-06,28753,-83.54,-0.032538,-1.3249e-12,-2.3602e-18,7.5542e-18,-1.438e-15,2.9782e-16,5.5127e-17,0,0,0,0,1,1.7578,14.618,55.786,0.18891,0,0,1,0.0016832,0,0.0016832,0
1.8279,5.8291e-06,0.00089784,1680,0,8.04e-06,31324,-86.518,-0.033698,1.5262e-13,-4.8466e-18,6.3077e-18,6.3775e-17,3.1444e-16,8.6174e-17,0,0,0,0,1,1.6939,15.368,54.862,0.202,0,0,1,0.0017884,0,0.0017884,0
1.8279,5.8291e-06,0.00083799,1680,0,8.04e-06,35228,-90.146,-0.035111,-1.4241e-12,-1.7763e-18,3.6894e-18,-8.9088e-16,2.7708e-16,1.5269e-16,0,0,0,0,1,1.5821,16.073,53.785,0.21578,0,0,1,0.0018936,0,0.0018936,0
1.8279,5.8291e-06,0.00076739,1680,0,8.04e-06,40178,-94.101,-0.036652,-2.1934e-12,3.4762e-19,9.3126e-19,-1.3243e-15,1.4731e-16,1.7107e-16,0,0,0,0,1,1.4504,16.756,52.61,0.2298,0,0,1,0.0019988,0,0.0019988,0
1.8279,5.8291e-06,0.00068076,1680,0,8.04e-06,46914,-98.556,-0.038387,-2.1163e-12,1.1397e-18,-1.7969e-18,-1.2169e-15,-6.147e-17,1.1619e-16,0,0,0,0,1,1.2887,17.405,51.279,0.24413,0,0,1,0.002104,0,0.002104,0
1.8279,5.8291e-06,0.00057498,1680,0,8.04e-06,57402,-103.7,-0.040389,-2.8866e-12,7.0294e-19,-2.776e-18,-1.7097e-15,-2.2106e-17,-3.4627e-17,0,0,0,0,1,1.0912,17.997,49.673,0.25853,0,0,1,0.0022092,0,0.0022092,0
1.8279,5.8291e-06,0.00045002,1680,0,8.04e-06,75876,-109.62,-0.042696,-2.9598e-14,-1.2863e-18,-1.5493e-19,-1.7499e-17,6.8558e-17,-1.5804e-16,0,0,0,0,1,0.85793,18.482,47.62,0.27219,0,0,1,0.0023144,0,0.0023144,0
1.8279,5.8291e-06,0.0003076,1680,0,8.04e-06,1.1164e+05,-116.34,-0.045314,2.98e-13,5.8573e-19,1.0049e-18,2.5073e-16,2.1902e-16,-8.9684e-17,0,0,0,0,1,0.59208,18.757,44.843,0.28348,0,0,1,0.0024196,0,0.0024196,0
1.8278,5.8293e-06,0.00014578,1680,0,8.0402e-06,2.3137e+05,-124.03,-0.048309,9.5723e-13,-9.4791e-19,-4.5212e-19,2.8595e-16,1.5744e-16,3.0319e-17,0,0,0,0,0.99997,0.29002,18.264,39.958,0.28506,0,0,1,0.0025248,0,0.0025248,0
1.8145,5.926e-06,7.7525e-19,1670.5,0,8.1438e-06,2.3405e+08,-179.46,-0.069899,0,-6.3506e-19,-1.0412e-18,0,0,0,0,0.0032143,0.00046236,0,0.9859,0.017963,1e-10,0,0,0,1.8647,1,0.00263,0,0.00263,0
1.3117,1.7765e-05,1.8268e-19,1137.2,0,1.6391e-05,1.4447e+09,-263.98,-0.10282,0,-5.8699e-19,9.1077e-20,0,0,0,0,0.00050191,-0.0016564,0,0.19065,0.024117,1e-10,0,0,0,0.60781,1,0.0027352,0,0.0027352,0
1.2068,2.0823e-05,7.0068e-20,1019.6,0,1.8329e-05,1.7233e+09,-203.73,-0.079352,0,-6.3759e-19,8.8608e-20,0,0,0,0,0,-0.0021237,0,0.015218,0.025609,1e-10,0,0,0,0.37166,1,0.0028404,0,0.0028404,0
1.2009,2.1254e-05,6.8603e-20,1010.2,0,1.8533e-05,1.7505e+09,-147.83,-0.057578,0,-6.8925e-19,-3.7226e-21,0,0,0,0,0,-0.0019107,0,0.0011986,0.025785,1e-10,0,0,0,0.34718,1,0.0029456,0,0.0029456,0
1.2005,2.1289e-05,6.849e-20,1009.5,0,1.8549e-05,1.7528e+09,-121.84,-0.047454,0,-7.2156e-19,-1.6033e-22,0,0,0,0,0,-0.0015368,0,0.00010566,0.025799,1e-10,0,0,0,0.31089,1,0.0030508,0,0.0030508,0
1.2004,2.1292e-05,6.8479e-20,1009.4,0,1.8551e-05,1.753e+09,-107.94,-0.04204,0,-7.4437e-19,-4.1353e-24,0,0,0,0,0,-0.0012023,0,1.2809e-05,0.0258,1e-10,0,0,0,0.27505,1,0.003156,0,0.003156,0
1.2004,2.1292e-05,6.8476e-20,1009.4,0,1.8551e-05,1.753e+09,-100.21,-0.039031,0,-7.6359e-19,-1.7018e-24,0,0,0,0,0,-0.00091773,0,2.592e-06,0.0258,1e-10,0,0,0,0.24055,1,0.0032612,0,0.0032612,0
1.2004,2.1292e-05,6.8474e-20,1009.4,0,1.8551e-05,1.7531e+09,-96.578,-0.037617,0,-7.728e-19,-5.4031e-24,0,0,0,0,0,-0.00067743,0,9.0276e-07,0.0258,1e-10,0,0,0,0.20651,1,0.0033664,0,0.0033664,0
1.2004,2.1293e-05,6.8473e-20,1009.4,0,1.8551e-05,1.7531e+09,-95.538,-0.037212,0,-7.8447e-19,-8.1507e-24,0,0,0,0,0,-0.00046887,0,3.4344e-07,0.0258,1e-10,0,0,0,0.17111,1,0.0034716,0,0.0034716,0
1.2004,2.1293e-05,6.8471e-20,1009.4,0,1.8551e-05,1.7532e+09,-96.346,-0.037526,0,-7.9794e-19,-9.972e-24,0,0,0,0,0,-0.00028345,0,1.3014e-07,0.0258,1e-10,0,0,0,0.13164,1,0.0035768,0,0.0035768,0
1.2004,2.1293e-05,6.8469e-20,1009.4,0,1.8551e-05,1.7532e+09,-98.752,-0.038463,0,-8.0626e-19,-1.1157e-23,0,0,0,0,0,-0.00011722,0,4.8226e-08,0.0258,1e-10,0,0,0,0.075608,1,0.003682,0,0.003682,0
1.2004,2.1293e-05,6.8468e-20,1009.4,0,1.8551e-05,1.7533e+09,-102.66,-0.039985,0,-8.1272e-19,-1.1954e-23,0,0,0,0,0,3.2768e-05,0,1.7226e-08,0.0258,1e-10,0,0,0,0.048419,1,0.0037872,0,0.0037872,0
1.2004,2.1293e-05,6.8466e-20,1009.4,0,1.8551e-05,1.7533e+09,-108.11,-0.04211,0,-8.2546e-19,-1.2473e-23,0,0,0,0,0,0.00016834,0,5.9798e-09,0.0258,1e-10,0,0,0,0.1023,1,0.0038924,0,0.0038924,0
1.2004,2.1293e-05,6.8464e-20,1009.4,0,1.8551e-05,1.7534e+09,-115.43,-0.044961,0,-8.3468e-19,-1.2683e-23,0,0,0,0,0,0.00028929,0,2.3914e-09,0.0258,1e-10,0,0,0,0.135,1,0.0039976,0,0.0039976,0
