"C3H8","EDC<psiChemistryCombustion>:kappa","N2","O2","Qdot","T","U:0","U:1","U:2","Ux","Uy","Uz","alphat","epsilon","k","mag(U)","nut","p","rDeltaT","rho","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.16418,0,0.63789,0.19793,0,294.17,16.401,0.0053458,-5.6942e-13,16.401,0.0053458,-5.6942e-13,0.0093926,768.87,4.9966,16.401,0.0074094,1.0132e+05,45028,1.2677,1,0,0.363,0,0
0.16417,0,0.6379,0.19793,0,294.17,16.401,0.0062092,-6.7448e-13,16.401,0.0062092,-6.7448e-13,0.0094041,768.95,4.9968,16.401,0.0074185,1.0132e+05,45032,1.2677,1,0.0001052,0.363,0.0001052,0
0.16416,0,0.63791,0.19793,0,294.17,16.4,0.0070726,-7.7954e-13,16.4,0.0070726,-7.7954e-13,0.0094156,769.02,4.9971,16.4,0.0074276,1.0132e+05,45036,1.2676,1,0.0002104,0.363,0.0002104,0
0.16414,0,0.63792,0.19794,0,294.17,16.4,0.007936,-8.846e-13,16.4,0.007936,-8.846e-13,0.009427,769.1,4.9974,16.4,0.0074367,1.0132e+05,45040,1.2676,1,0.0003156,0.363,0.0003156,0
0.16413,0,0.63793,0.19794,0,294.17,16.4,0.0087994,-9.8966e-13,16.4,0.0087994,-9.8966e-13,0.0094385,769.18,4.9976,16.4,0.0074458,1.0132e+05,45044,1.2676,1,0.0004208,0.363,0.0004208,0
0.16412,0,0.63794,0.19794,0,294.17,16.4,0.0096667,-1.0953e-12,16.4,0.0096667,-1.0953e-12,0.0094499,769.26,4.9979,16.4,0.0074548,1.0132e+05,45048,1.2676,1,0.000526,0.363,0.000526,0
0.16408,0,0.63797,0.19795,0,294.17,16.399,0.01135,-1.3205e-12,16.399,0.01135,-1.3205e-12,0.0094453,769.5,4.9988,16.399,0.0074513,1.0132e+05,45055,1.2676,1,0.0006312,0.363,0.0006312,0
0.16403,0,0.638,0.19796,0,294.17,16.397,0.013033,-1.5456e-12,16.397,0.013033,-1.5456e-12,0.0094407,769.74,4.9996,16.397,0.0074477,1.0132e+05,45063,1.2676,1,0.0007364,0.363,0.0007364,0
0.16399,0,0.63803,0.19797,0,294.17,16.396,0.014717,-1.7708e-12,16.396,0.014717,-1.7708e-12,0.0094361,769.99,5.0005,16.396,0.0074442,1.0132e+05,45070,1.2676,1,0.0008416,0.363,0.0008416,0
0.16395,0,0.63807,0.19798,0,294.17,16.395,0.0164,-1.9959e-12,16.395,0.0164,-1.9959e-12,0.0094315,770.23,5.0013,16.395,0.0074407,1.0132e+05,45078,1.2676,1,0.0009468,0.363,0.0009468,0
0.16391,0,0.6381,0.19799,0,294.17,16.394,0.018083,-2.22e-12,16.394,0.018083,-2.22e-12,0.0094265,770.47,5.0022,16.394,0.0074369,1.0132e+05,45085,1.2675,1,0.001052,0.363,0.001052,0
0.16384,0,0.63815,0.19801,0,294.17,16.391,0.019759,-2.3305e-12,16.391,0.019759,-2.3305e-12,0.0093831,770.89,5.0036,16.391,0.0074028,1.0132e+05,45090,1.2675,1,0.0011572,0.363,0.0011572,0
0.16376,0,0.63821,0.19803,0,294.17,16.388,0.021434,-2.441e-12,16.388,0.021434,-2.441e-12,0.0093397,771.31,5.0051,16.388,0.0073688,1.0132e+05,45095,1.2675,1,0.0012624,0.363,0.0012624,0
0.16369,0,0.63827,0.19804,0,294.17,16.385,0.023109,-2.5514e-12,16.385,0.023109,-2.5514e-12,0.0092963,771.73,5.0066,16.385,0.0073347,1.0132e+05,45100,1.2674,1,0.0013676,0.363,0.0013676,0
0.16362,0,0.63832,0.19806,0,294.17,16.383,0.024784,-2.6619e-12,16.383,0.024784,-2.6619e-12,0.0092529,772.15,5.008,16.383,0.0073007,1.0132e+05,45105,1.2674,1,0.0014728,0.363,0.0014728,0
0.16354,0,0.63838,0.19808,0,294.17,16.38,0.02646,-2.7698e-12,16.38,0.02646,-2.7698e-12,0.0092092,772.57,5.0095,16.38,0.0072664,1.0132e+05,45110,1.2674,1,0.001578,0.363,0.001578,0
0.16343,0,0.63846,0.1981,0,294.17,16.375,0.028165,-2.6987e-12,16.375,0.028165,-2.6987e-12,0.0091502,773.16,5.0116,16.376,0.0072201,1.0132e+05,45110,1.2673,1,0.0016832,0.363,0.0016832,0
0.16333,0,0.63854,0.19813,0,294.17,16.371,0.02987,-2.6276e-12,16.371,0.02987,-2.6276e-12,0.0090912,773.75,5.0137,16.371,0.0071738,1.0132e+05,45111,1.2673,1,0.0017884,0.363,0.0017884,0
0.16322,0,0.63862,0.19815,0,294.17,16.367,0.031575,-2.5565e-12,16.367,0.031575,-2.5565e-12,0.0090322,774.34,5.0158,16.367,0.0071276,1.0132e+05,45112,1.2672,1,0.0018936,0.363,0.0018936,0
0.16312,0,0.6387,0.19818,0,294.17,16.362,0.03328,-2.4854e-12,16.362,0.03328,-2.4854e-12,0.0089732,774.93,5.0179,16.362,0.0070813,1.0132e+05,45113,1.2672,1,0.0019988,0.363,0.0019988,0
0.16301,0,0.63879,0.19821,0,294.17,16.358,0.034986,-2.414e-12,16.358,0.034986,-2.414e-12,0.008914,775.53,5.02,16.358,0.0070348,1.0132e+05,45113,1.2671,1,0.002104,0.363,0.002104,0
0.16286,0,0.6389,0.19824,0,294.17,16.352,0.036753,-2.331e-12,16.352,0.036753,-2.331e-12,0.0088443,776.33,5.0229,16.352,0.0069802,1.0132e+05,45103,1.2671,1,0.0022092,0.363,0.0022092,0
0.16271,0,0.63901,0.19828,0,294.17,16.345,0.038521,-2.248e-12,16.345,0.038521,-2.248e-12,0.0087746,777.13,5.0258,16.345,0.0069255,1.0132e+05,45093,1.267,1,0.0023144,0.363,0.0023144,0
0.16256,0,0.63913,0.19831,0,294.17,16.339,0.040289,-2.1649e-12,16.339,0.040289,-2.1649e-12,0.0087049,777.93,5.0287,16.339,0.0068709,1.0132e+05,45084,1.2669,1,0.0024196,0.363,0.0024196,0
0.16241,0,0.63924,0.19835,0,294.17,16.332,0.042056,-2.0819e-12,16.332,0.042056,-2.0819e-12,0.0086352,778.73,5.0316,16.332,0.0068163,1.0132e+05,45074,1.2668,1,0.0025248,0.363,0.0025248,0
0.16226,0,0.63936,0.19838,0,294.17,16.326,0.04382,-2.0002e-12,16.326,0.04382,-2.0002e-12,0.0085656,779.54,5.0345,16.326,0.0067617,1.0132e+05,45064,1.2668,1,0.00263,0.363,0.00263,0
0.16208,0,0.63949,0.19842,0,294.17,16.318,0.045408,-1.9733e-12,16.318,0.045408,-1.9733e-12,0.008498,780.44,5.0378,16.318,0.0067087,1.0132e+05,45049,1.2667,1,0.0027352,0.363,0.0027352,0
0.16191,0,0.63963,0.19847,0,294.17,16.311,0.046996,-1.9464e-12,16.311,0.046996,-1.9464e-12,0.0084304,781.35,5.0412,16.311,0.0066558,1.0132e+05,45034,1.2666,1,0.0028404,0.363,0.0028404,0
0.16173,0,0.63976,0.19851,0,294.17,16.303,0.048585,-1.9195e-12,16.303,0.048585,-1.9195e-12,0.0083629,782.25,5.0445,16.303,0.0066029,1.0132e+05,45019,1.2665,1,0.0029456,0.363,0.0029456,0
0.16155,0,0.6399,0.19855,0,294.17,16.295,0.050173,-1.8926e-12,16.295,0.050173,-1.8926e-12,0.0082953,783.16,5.0478,16.295,0.00655,1.0132e+05,45004,1.2665,1,0.0030508,0.363,0.0030508,0
0.16138,0,0.64003,0.19859,0,294.17,16.287,0.051761,-1.8658e-12,16.287,0.051761,-1.8658e-12,0.0082278,784.06,5.0512,16.287,0.006497,1.0132e+05,44989,1.2664,1,0.003156,0.363,0.003156,0
0.16119,0,0.64017,0.19864,0,294.17,16.279,0.053351,-1.8351e-12,16.279,0.053351,-1.8351e-12,0.0081599,784.99,5.0546,16.28,0.0064439,1.0132e+05,44974,1.2663,1,0.0032612,0.363,0.0032612,0
0.16096,0,0.64035,0.19869,0,294.17,16.269,0.05495,-1.7723e-12,16.269,0.05495,-1.7723e-12,0.0080894,786.1,5.0588,16.269,0.0063887,1.0132e+05,44956,1.2662,1,0.0033664,0.363,0.0033664,0
0.16073,0,0.64053,0.19874,0,294.17,16.259,0.056549,-1.7094e-12,16.259,0.056549,-1.7094e-12,0.0080189,787.21,5.063,16.259,0.0063336,1.0132e+05,44938,1.2661,1,0.0034716,0.363,0.0034716,0
0.1605,0,0.6407,0.1988,0,294.17,16.249,0.058148,-1.6466e-12,16.249,0.058148,-1.6466e-12,0.0079485,788.32,5.0672,16.249,0.0062784,1.0132e+05,44921,1.266,1,0.0035768,0.363,0.0035768,0
0.16027,0,0.64088,0.19885,0,294.17,16.239,0.059747,-1.5838e-12,16.239,0.059747,-1.5838e-12,0.007878,789.43,5.0714,16.239,0.0062233,1.0132e+05,44903,1.2659,1,0.003682,0.363,0.003682,0
0.16003,0,0.64106,0.19891,0,294.17,16.228,0.061345,-1.5209e-12,16.228,0.061345,-1.5209e-12,0.0078075,790.54,5.0755,16.229,0.0061682,1.0132e+05,44885,1.2658,1,0.0037872,0.363,0.0037872,0
0.15978,0,0.64125,0.19897,0,294.17,16.217,0.063009,-1.4445e-12,16.217,0.063009,-1.4445e-12,0.007734,791.75,5.0801,16.217,0.0061107,1.0132e+05,44861,1.2656,1,0.0038924,0.363,0.0038924,0
0.15941,0,0.64153,0.19906,0,294.16,16.201,0.064957,-1.308e-12,16.201,0.064957,-1.308e-12,0.0076474,793.36,5.0864,16.201,0.006043,1.0132e+05,44806,1.2655,1,0.0039976,0.363,0.0039976,0
0.15904,0,0.64181,0.19914,0,294.16,16.184,0.066905,-1.1716e-12,16.184,0.066905,-1.1716e-12,0.0075607,794.98,5.0927,16.184,0.0059752,1.0132e+05,44751,1.2653,1,0.0041028,0.363,0.0041028,0
0.15867,0,0.6421,0.19923,0,294.16,16.168,0.068853,-1.0351e-12,16.168,0.068853,-1.0351e-12,0.007474,796.59,5.0989,16.168,0.0059075,1.0132e+05,44697,1.2651,1,0.004208,0.363,0.004208,0
0.1583,0,0.64238,0.19932,0,294.16,16.152,0.070801,-8.9869e-13,16.152,0.070801,-8.9869e-13,0.0073873,798.21,5.1052,16.152,0.0058398,1.0132e+05,44642,1.265,1,0.0043132,0.363,0.0043132,0
0.15794,0,0.64266,0.19941,0,294.16,16.135,0.072749,-7.6224e-13,16.135,0.072749,-7.6224e-13,0.0073007,799.82,5.1115,16.135,0.005772,1.0132e+05,44588,1.2648,1,0.0044184,0.363,0.0044184,0
0.15758,0,0.64293,0.19949,0,294.16,16.119,0.074509,-6.4979e-13,16.119,0.074509,-6.4979e-13,0.0072226,801.33,5.1174,16.119,0.005711,1.0132e+05,44535,1.2646,1,0.0045236,0.363,0.0045236,0
0.15724,0,0.64319,0.19957,0,294.16,16.104,0.075751,-6.0389e-13,16.104,0.075751,-6.0389e-13,0.0071684,802.54,5.1223,16.105,0.0056688,1.0132e+05,44489,1.2645,1,0.0046288,0.363,0.0046288,0
0.15691,0,0.64344,0.19965,0,294.16,16.089,0.076992,-5.5799e-13,16.089,0.076992,-5.5799e-13,0.0071142,803.75,5.1272,16.09,0.0056265,1.0132e+05,44443,1.2643,1,0.004734,0.363,0.004734,0
0.15658,0,0.6437,0.19973,0,294.16,16.075,0.078234,-5.1209e-13,16.075,0.078234,-5.1209e-13,0.00706,804.96,5.1321,16.075,0.0055843,1.0132e+05,44396,1.2642,1,0.0048392,0.363,0.0048392,0
0.15624,0,0.64395,0.19981,0,294.16,16.06,0.079475,-4.6619e-13,16.06,0.079475,-4.6619e-13,0.0070058,806.16,5.137,16.06,0.0055421,1.0132e+05,44350,1.264,1,0.0049444,0.363,0.0049444,0
0.15591,0,0.6442,0.19989,0,294.16,16.045,0.080716,-4.2029e-13,16.045,0.080716,-4.2029e-13,0.0069516,807.37,5.1419,16.045,0.0054998,1.0132e+05,44304,1.2639,1,0.0050496,0.363,0.0050496,0
0.15558,0,0.64446,0.19997,0,294.16,16.03,0.081958,-3.7439e-13,16.03,0.081958,-3.7439e-13,0.0068974,808.58,5.1468,16.03,0.0054576,1.0132e+05,44257,1.2637,1,0.0051548,0.363,0.0051548,0
0.15524,0,0.64471,0.20004,0,294.16,16.015,0.083199,-3.2849e-13,16.015,0.083199,-3.2849e-13,0.0068431,809.79,5.1518,16.015,0.0054153,1.0132e+05,44211,1.2636,1,0.00526,0.363,0.00526,0
0.15491,0,0.64497,0.20012,0,294.16,16,0.084441,-2.8259e-13,16,0.084441,-2.8259e-13,0.0067889,811,5.1567,16,0.0053731,1.0132e+05,44165,1.2634,1,0.0053652,0.363,0.0053652,0
0.15458,0,0.64522,0.2002,0,294.16,15.985,0.085682,-2.3669e-13,15.985,0.085682,-2.3669e-13,0.0067347,812.21,5.1616,15.985,0.0053308,1.0132e+05,44119,1.2633,1,0.0054704,0.363,0.0054704,0
0.15424,0,0.64548,0.20028,0,294.16,15.97,0.086924,-1.9079e-13,15.97,0.086924,-1.9079e-13,0.0066805,813.42,5.1665,15.97,0.0052886,1.0132e+05,44072,1.2631,1,0.0055756,0.363,0.0055756,0
0.15391,0,0.64573,0.20036,0,294.16,15.955,0.088165,-1.4489e-13,15.955,0.088165,-1.4489e-13,0.0066263,814.63,5.1714,15.955,0.0052463,1.0132e+05,44026,1.263,1,0.0056808,0.363,0.0056808,0
0.15353,0,0.64602,0.20045,0,294.16,15.938,0.089393,-1.0897e-13,15.938,0.089393,-1.0897e-13,0.0065728,815.86,5.1765,15.938,0.0052047,1.0132e+05,43977,1.2628,1,0.005786,0.363,0.005786,0
0.15304,0,0.6464,0.20057,0,294.16,15.916,0.090591,-9.6438e-14,15.916,0.090591,-9.6438e-14,0.0065211,817.15,5.1821,15.916,0.0051646,1.0132e+05,43920,1.2626,1,0.0058912,0.363,0.0058912,0
0.15255,0,0.64677,0.20068,0,294.15,15.894,0.091789,-8.3908e-14,15.894,0.091789,-8.3908e-14,0.0064694,818.45,5.1876,15.894,0.0051244,1.0132e+05,43863,1.2624,1,0.0059964,0.363,0.0059964,0
0.15206,0,0.64714,0.2008,0,294.15,15.872,0.092987,-7.1378e-14,15.872,0.092987,-7.1378e-14,0.0064176,819.74,5.1932,15.872,0.0050843,1.0132e+05,43806,1.2621,1,0.0061016,0.363,0.0061016,0
0.15157,0,0.64752,0.20091,0,294.15,15.85,0.094184,-5.8847e-14,15.85,0.094184,-5.8847e-14,0.0063659,821.03,5.1987,15.85,0.0050441,1.0132e+05,43749,1.2619,1,0.0062068,0.363,0.0062068,0
0.15108,0,0.64789,0.20103,0,294.15,15.828,0.095382,-4.6317e-14,15.828,0.095382,-4.6317e-14,0.0063142,822.33,5.2043,15.828,0.005004,1.0132e+05,43692,1.2617,1,0.006312,0.363,0.006312,0
0.15059,0,0.64827,0.20115,0,294.15,15.806,0.09658,-3.3787e-14,15.806,0.09658,-3.3787e-14,0.0062624,823.62,5.2098,15.806,0.0049639,1.0132e+05,43635,1.2615,1,0.0064172,0.363,0.0064172,0
0.1501,0,0.64864,0.20126,0,294.15,15.784,0.097778,-2.1256e-14,15.784,0.097778,-2.1256e-14,0.0062107,824.91,5.2154,15.784,0.0049237,1.0132e+05,43578,1.2612,1,0.0065224,0.363,0.0065224,0
0.14961,0,0.64901,0.20138,0,294.15,15.761,0.098976,-8.7261e-15,15.761,0.098976,-8.7261e-15,0.0061589,826.21,5.221,15.762,0.0048836,1.0132e+05,43521,1.261,1,0.0066276,0.363,0.0066276,0
0.14912,0,0.64939,0.20149,0,294.15,15.739,0.10017,3.8042e-15,15.739,0.10017,3.8042e-15,0.0061072,827.5,5.2265,15.74,0.0048435,1.0132e+05,43464,1.2608,1,0.0067328,0.363,0.0067328,0
0.14863,0,0.64976,0.20161,0,294.15,15.717,0.10137,1.6334e-14,15.717,0.10137,1.6334e-14,0.0060555,828.79,5.2321,15.718,0.0048033,1.0132e+05,43407,1.2606,1,0.006838,0.363,0.006838,0
0.14814,0,0.65013,0.20173,0,294.15,15.695,0.10257,2.8865e-14,15.695,0.10257,2.8865e-14,0.0060037,830.09,5.2376,15.696,0.0047632,1.0132e+05,43350,1.2604,1,0.0069432,0.363,0.0069432,0
0.14762,0,0.65053,0.20185,0,294.15,15.672,0.1037,4.1266e-14,15.672,0.1037,4.1266e-14,0.0059543,831.29,5.2429,15.672,0.0047248,1.0132e+05,43289,1.2601,1,0.0070484,0.363,0.0070484,0
