"C3H8","EDC<psiChemistryCombustion>:kappa","N2","O2","Qdot","T","U:0","U:1","U:2","Ux","Uy","Uz","alphat","epsilon","k","mag(U)","nut","p","rDeltaT","rho","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1,0,1.4136e-09,4.386e-10,0,293.67,64.234,0.0036864,-1.4763e-11,64.234,0.0036864,-1.4763e-11,0.00041562,1478.1,1.3168,64.234,0.00022715,1.0131e+05,2.1725e+05,1.8298,1,0,0.1,0,0
1,0,4.4951e-09,1.3947e-09,0,293.67,64.232,0.012129,-1.2672e-11,64.232,0.012129,-1.2672e-11,0.00041728,1478.9,1.3139,64.232,0.00022805,1.0131e+05,2.191e+05,1.8298,1,0.0004208,0.10042,0,0
1,0,7.5765e-09,2.3507e-09,0,293.66,64.23,0.020572,-1.0582e-11,64.23,0.020572,-1.0582e-11,0.00041894,1479.7,1.311,64.23,0.00022896,1.0131e+05,2.2094e+05,1.8297,1,0.0008416,0.10084,0,0
1,0,1.2751e-08,3.9562e-09,0,293.66,64.222,0.02814,-9.3755e-12,64.222,0.02814,-9.3755e-12,0.0004205,1480.7,1.3083,64.222,0.00022981,1.0131e+05,2.2228e+05,1.8297,1,0.0012624,0.10126,0,0
1,0,2.4046e-08,7.4605e-09,0,293.67,64.197,0.03315,-1.0756e-11,64.197,0.03315,-1.0756e-11,0.00042179,1482.7,1.3063,64.197,0.00023051,1.0132e+05,2.2212e+05,1.8298,1,0.0016832,0.10168,0,0
1,0,3.534e-08,1.0965e-08,0,293.67,64.172,0.038161,-1.2137e-11,64.172,0.038161,-1.2137e-11,0.00042308,1484.7,1.3043,64.172,0.00023121,1.0132e+05,2.2196e+05,1.8299,1,0.002104,0.1021,0,0
1,0,5.6441e-08,1.7512e-08,0,293.67,64.147,0.044057,-1.2374e-11,64.147,0.044057,-1.2374e-11,0.0004236,1487.1,1.3026,64.147,0.00023148,1.0133e+05,2.2179e+05,1.83,1,0.0025248,0.10252,0,0
1,0,8.7097e-08,2.7023e-08,0,293.67,64.122,0.050815,-1.1496e-11,64.122,0.050815,-1.1496e-11,0.00042337,1489.9,1.3014,64.122,0.00023135,1.0133e+05,2.2162e+05,1.83,1,0.0029456,0.10295,0,0
1,0,1.1775e-07,3.6535e-08,0,293.67,64.097,0.057573,-1.0618e-11,64.097,0.057573,-1.0618e-11,0.00042314,1492.8,1.3001,64.097,0.00023122,1.0133e+05,2.2145e+05,1.8301,1,0.0033664,0.10337,0,0
1,0,1.7732e-07,5.5018e-08,0,293.67,64.081,0.063316,-8.4981e-12,64.081,0.063316,-8.4981e-12,0.00041983,1496.8,1.2993,64.081,0.0002294,1.0133e+05,2.2129e+05,1.8301,1,0.0037872,0.10379,0,0
1,0,2.4628e-07,7.6413e-08,0,293.66,64.069,0.06873,-5.9745e-12,64.069,0.06873,-5.9745e-12,0.00041552,1501.2,1.2988,64.069,0.00022704,1.0134e+05,2.2114e+05,1.8301,1,0.004208,0.10421,0,0
1,0,3.1526e-07,9.7813e-08,0,293.66,64.057,0.074143,-3.4514e-12,64.057,0.074143,-3.4514e-12,0.00041121,1505.5,1.2982,64.057,0.00022468,1.0134e+05,2.2098e+05,1.8302,1,0.0046288,0.10463,0,0
1,0,4.5316e-07,1.406e-07,0,293.66,64.053,0.078375,-3.5773e-12,64.053,0.078375,-3.5773e-12,0.0004067,1510.6,1.2984,64.053,0.00022222,1.0134e+05,2.2087e+05,1.8302,1,0.0050496,0.10505,0,0
1,0,5.9106e-07,1.8339e-07,0,293.66,64.05,0.082607,-3.7032e-12,64.05,0.082607,-3.7032e-12,0.0004022,1515.7,1.2985,64.05,0.00021976,1.0134e+05,2.2075e+05,1.8302,1,0.0054704,0.10547,0,0
1,0,7.5714e-07,2.3492e-07,0,293.66,64.047,0.0864,-3.6055e-12,64.047,0.0864,-3.6055e-12,0.00039808,1521,1.2988,64.047,0.00021751,1.0134e+05,2.2063e+05,1.8302,1,0.0058912,0.10589,0,0
1,0,1.0113e-06,3.1379e-07,0,293.66,64.045,0.08882,-2.8085e-12,64.045,0.08882,-2.8085e-12,0.00039519,1527.5,1.2994,64.045,0.00021593,1.0134e+05,2.2053e+05,1.8302,1,0.006312,0.10631,0,0
1,0,1.2655e-06,3.9266e-07,0,293.66,64.044,0.09124,-2.0115e-12,64.044,0.09124,-2.0115e-12,0.0003923,1533.9,1.3,64.044,0.00021435,1.0134e+05,2.2042e+05,1.8302,1,0.0067328,0.10673,0,0
1,0,1.6095e-06,4.9939e-07,0,293.66,64.043,0.092897,-1.3328e-12,64.043,0.092897,-1.3328e-12,0.0003901,1540.7,1.3009,64.043,0.00021314,1.0134e+05,2.2033e+05,1.8302,1,0.0071536,0.10715,0,0
