"x","cf"
 2.780639759E-16, 1.737878844E-02
 7.999999798E-04, 2.221203595E-02
 1.606264967E-03, 8.642802946E-03
 2.418837277E-03, 7.445110939E-03
 3.237759229E-03, 6.798392627E-03
 4.063073546E-03, 6.350308657E-03
 4.894822836E-03, 6.028319243E-03
 5.733050406E-03, 5.784523208E-03
 6.577799562E-03, 5.596331321E-03
 7.429112680E-03, 5.448147655E-03
 8.287033997E-03, 5.329856183E-03
 9.151606821E-03, 5.234087817E-03
 1.002287492E-02, 5.155493971E-03
 1.090088207E-02, 5.090073682E-03
 1.178567298E-02, 5.034828559E-03
 1.267729141E-02, 4.987492692E-03
 1.357578207E-02, 4.946349654E-03
 1.448118873E-02, 4.910092801E-03
 1.539355703E-02, 4.877723753E-03
 1.631293073E-02, 4.848475568E-03
 1.723935641E-02, 4.821752198E-03
 1.817287691E-02, 4.797089845E-03
 1.911354065E-02, 4.774122965E-03
 2.006139047E-02, 4.752562381E-03
 2.101647109E-02, 4.732178058E-03
 2.197883092E-02, 4.712785594E-03
 2.294851467E-02, 4.694238771E-03
 2.392556891E-02, 4.676417913E-03
 2.491003834E-02, 4.659225699E-03
 2.590196952E-02, 4.642582033E-03
 2.690140903E-02, 4.626420327E-03
 2.790840343E-02, 4.610684700E-03
 2.892299928E-02, 4.595328588E-03
 2.994524129E-02, 4.580311943E-03
 3.097517975E-02, 4.565602168E-03
 3.201285750E-02, 4.551170394E-03
 3.305832669E-02, 4.536992870E-03
 3.411163017E-02, 4.523048643E-03
 3.517281637E-02, 4.509320017E-03
 3.624192998E-02, 4.495791625E-03
 3.731902316E-02, 4.482449498E-03
 3.840414062E-02, 4.469282459E-03
 3.949733078E-02, 4.456280265E-03
 4.059864208E-02, 4.443433136E-03
 4.170811921E-02, 4.430733621E-03
 4.282581061E-02, 4.418173339E-03
 4.395176470E-02, 4.405746702E-03
 4.508602992E-02, 4.393447656E-03
 4.622865468E-02, 4.381270148E-03
 4.737968370E-02, 4.369209521E-03
 4.853916913E-02, 4.357262049E-03
 4.970715567E-02, 4.345423076E-03
 5.088369548E-02, 4.333688878E-03
 5.206883326E-02, 4.322055727E-03
 5.326262116E-02, 4.310521297E-03
 5.446510017E-02, 4.299081862E-03
 5.567632616E-02, 4.287735093E-03
 5.689634383E-02, 4.276477732E-03
 5.812519789E-02, 4.265307449E-03
 5.936294422E-02, 4.254222382E-03
 6.060962752E-02, 4.243220203E-03
 6.186529621E-02, 4.232298583E-03
 6.312999874E-02, 4.221455660E-03
 6.440377980E-02, 4.210690036E-03
 6.568669528E-02, 4.199999385E-03
 6.697878242E-02, 4.189381842E-03
 6.828010082E-02, 4.178836942E-03
 6.959069520E-02, 4.168361891E-03
 7.091061771E-02, 4.157956224E-03
 7.223990560E-02, 4.147618078E-03
 7.357861102E-02, 4.137346521E-03
 7.492678612E-02, 4.127139691E-03
 7.628447562E-02, 4.116996657E-03
 7.765173167E-02, 4.106916022E-03
 7.902859896E-02, 4.096896853E-03
 8.041512221E-02, 4.086937290E-03
 8.181135356E-02, 4.077036865E-03
 8.321733773E-02, 4.067194182E-03
 8.463312685E-02, 4.057408310E-03
 8.605875820E-02, 4.047678318E-03
 8.749429882E-02, 4.038002342E-03
 8.893977106E-02, 4.028379917E-03
 9.039524198E-02, 4.018810112E-03
 9.186074883E-02, 4.009291530E-03
 9.333634377E-02, 3.999823239E-03
 9.482206404E-02, 3.990404308E-03
