"x","cp"
 2.780600055E-16, 6.341999769E-02
 7.999999798E-04, 3.504800051E-02
 1.606300008E-03, 2.375900000E-02
 2.418800024E-03, 2.595599927E-02
 3.237799974E-03, 2.535999939E-02
 4.063100088E-03, 2.577999979E-02
 4.894800019E-03, 2.614000067E-02
 5.733100232E-03, 2.682599984E-02
 6.577800028E-03, 2.775599994E-02
 7.429100107E-03, 2.882900089E-02
 8.286999539E-03, 2.980599925E-02
 9.151600301E-03, 3.051799908E-02
 1.002299972E-02, 3.093899973E-02
 1.090100035E-02, 3.112599999E-02
 1.178599987E-02, 3.117099963E-02
 1.267699990E-02, 3.114699945E-02
 1.357600000E-02, 3.109999932E-02
 1.448099967E-02, 3.105800040E-02
 1.539400034E-02, 3.102800064E-02
 1.631299965E-02, 3.101000004E-02
 1.723900065E-02, 3.100699931E-02
 1.817299984E-02, 3.101000004E-02
 1.911400072E-02, 3.102199920E-02
 2.006099932E-02, 3.103400022E-02
 2.101599984E-02, 3.104900010E-02
 2.197900042E-02, 3.106399998E-02
 2.294900082E-02, 3.108200058E-02
 2.392599918E-02, 3.109999932E-02
 2.490999922E-02, 3.111400083E-02
 2.590199932E-02, 3.113500029E-02
 2.690099925E-02, 3.115599975E-02
 2.790799923E-02, 3.117999993E-02
 2.892299928E-02, 3.120400012E-02
 2.994499914E-02, 3.123399988E-02
 3.097499907E-02, 3.126300126E-02
 3.201299906E-02, 3.129599988E-02
 3.305799887E-02, 3.133200109E-02
 3.411199898E-02, 3.137100115E-02
 3.517299891E-02, 3.141200170E-02
 3.624200076E-02, 3.145400062E-02
 3.731900081E-02, 3.150200099E-02
 3.840399906E-02, 3.155000135E-02
 3.949699923E-02, 3.159999847E-02
 4.059899971E-02, 3.165400028E-02
 4.170800000E-02, 3.171100095E-02
 4.282600060E-02, 3.176699951E-02
 4.395199940E-02, 3.182699904E-02
 4.508600011E-02, 3.188899904E-02
 4.622900113E-02, 3.195200115E-02
 4.738000035E-02, 3.201700002E-02
 4.853900149E-02, 3.208599985E-02
 4.970699921E-02, 3.215799853E-02
 5.088400096E-02, 3.222899884E-02
 5.206900090E-02, 3.230400011E-02
 5.326300114E-02, 3.237799928E-02
 5.446499959E-02, 3.245599940E-02
 5.567599833E-02, 3.253600001E-02
 5.689600110E-02, 3.261899948E-02
 5.812500045E-02, 3.270300105E-02
 5.936300009E-02, 3.278899938E-02
 6.061000004E-02, 3.287599981E-02
 6.186499819E-02, 3.296799958E-02
 6.312999874E-02, 3.306100145E-02
 6.440400332E-02, 3.315300122E-02
 6.568700075E-02, 3.325099871E-02
 6.697899848E-02, 3.334999830E-02
 6.827999651E-02, 3.344799951E-02
 6.959100068E-02, 3.355199844E-02
 7.091099769E-02, 3.365699947E-02
 7.224000245E-02, 3.376400098E-02
 7.357899845E-02, 3.387099877E-02
 7.492700219E-02, 3.398400173E-02
 7.628399879E-02, 3.409799933E-02
 7.765199989E-02, 3.421400115E-02
 7.902900130E-02, 3.432999924E-02
 8.041500300E-02, 3.445199877E-02
 8.181100339E-02, 3.457500041E-02
 8.321700245E-02, 3.469999880E-02
 8.463300020E-02, 3.482500091E-02
 8.605899662E-02, 3.495600075E-02
 8.749400079E-02, 3.508700058E-02
 8.894000202E-02, 3.522099927E-02
 9.039500356E-02, 3.535800055E-02
 9.186100215E-02, 3.549500182E-02
 9.333600104E-02, 3.563800082E-02
 9.482199699E-02, 3.578399867E-02
 9.631799906E-02, 3.593099862E-02
 9.782399982E-02, 3.607999906E-02
 9.933999926E-02, 3.623500094E-02
 1.008699983E-01, 3.638900071E-02
 1.023999974E-01, 3.654700145E-02
 1.039500013E-01, 3.670800105E-02
 1.055099964E-01, 3.687199950E-02
 1.070799977E-01, 3.704199940E-02
 1.086599976E-01, 3.721199930E-02
 1.102500036E-01, 3.738500178E-02
 1.118500009E-01, 3.756399825E-02
 1.134599969E-01, 3.774299845E-02
 1.150799990E-01, 3.792700171E-02
 1.167099997E-01, 3.811199963E-02
 1.183499992E-01, 3.830299899E-02
 1.200100034E-01, 3.849700093E-02
 1.216700003E-01, 3.869599849E-02
 1.233500019E-01, 3.889599815E-02
 1.250399947E-01, 3.910100088E-02
 1.267299950E-01, 3.931000084E-02
 1.284399927E-01, 3.952199966E-02
 1.301600039E-01, 3.973900154E-02
 1.318899989E-01, 3.996000066E-02
 1.336400062E-01, 4.018599913E-02
 1.353899986E-01, 4.041299969E-02
 1.371600032E-01, 4.064799845E-02
 1.389299929E-01, 4.088699818E-02
 1.407199949E-01, 4.112799838E-02
 1.425199956E-01, 4.137500003E-02
 1.443299949E-01, 4.162599891E-02
 1.461499929E-01, 4.188200086E-02
 1.479800045E-01, 4.214400053E-02
 1.498299986E-01, 4.241000116E-02
 1.516900063E-01, 4.268100113E-02
 1.535499990E-01, 4.295799881E-02
 1.554300040E-01, 4.323799908E-02
 1.573199928E-01, 4.352699965E-02
 1.592299938E-01, 4.381899908E-02
 1.611399949E-01, 4.411699995E-02
 1.630699933E-01, 4.442099854E-02
 1.650100052E-01, 4.473400116E-02
 1.669600010E-01, 4.504999891E-02
 1.689199954E-01, 4.537200183E-02
 1.709000021E-01, 4.570300132E-02
 1.728799939E-01, 4.603900015E-02
 1.748799980E-01, 4.638199881E-02
 1.768900007E-01, 4.673400149E-02
 1.789100021E-01, 4.708899930E-02
 1.809500009E-01, 4.745500162E-02
 1.829899997E-01, 4.782800004E-02
 1.850499958E-01, 4.820600152E-02
 1.871200055E-01, 4.859400168E-02
 1.892099977E-01, 4.899000004E-02
 1.913000047E-01, 4.939499870E-02
 1.934099942E-01, 4.980900139E-02
 1.955299973E-01, 5.023000017E-02
 1.976599991E-01, 5.066199973E-02
 1.997999996E-01, 5.110299960E-02
 2.019599974E-01, 5.155299976E-02
 2.041299939E-01, 5.201499909E-02
 2.063100040E-01, 5.248299986E-02
 2.084999979E-01, 5.296599865E-02
 2.107100040E-01, 5.345699936E-02
 2.129299939E-01, 5.396100134E-02
 2.151599973E-01, 5.447699875E-02
 2.173999995E-01, 5.500400066E-02
 2.196599990E-01, 5.554300174E-02
 2.219299972E-01, 5.609500036E-02
 2.242099941E-01, 5.666099861E-02
 2.265000045E-01, 5.723899975E-02
 2.288099974E-01, 5.783199891E-02
