"x","y","mut"
  0.7500000,      5.0000250E-02,  1.1062852E-12
  0.7500000,      5.0000742E-02,  1.6624183E-10
  0.7500000,      5.0001241E-02,  3.0800642E-09
  0.7500000,      5.0001740E-02,  2.1932781E-08
  0.7500000,      5.0002232E-02,  9.4218187E-08
  0.7500000,      5.0002731E-02,  2.9854090E-07
  0.7500000,      5.0003231E-02,  7.7366258E-07
  0.7500000,      5.0003730E-02,  1.7396928E-06
  0.7500000,      5.0004229E-02,  3.5215430E-06
  0.7500000,      5.0004736E-02,  6.5748545E-06
  0.7500000,      5.0005242E-02,  1.1514661E-05
  0.7500000,      5.0005749E-02,  1.9147101E-05
  0.7500000,      5.0006256E-02,  3.0504489E-05
  0.7500000,      5.0006770E-02,  4.6884132E-05
  0.7500000,      5.0007284E-02,  6.9891263E-05
  0.7500000,      5.0007805E-02,  1.0148642E-04
  0.7500000,      5.0008327E-02,  1.4403781E-04
  0.7500000,      5.0008848E-02,  2.0037877E-04
  0.7500000,      5.0009370E-02,  2.7387100E-04
  0.7500000,      5.0009906E-02,  3.6847370E-04
  0.7500000,      5.0010443E-02,  4.8881886E-04
  0.7500000,      5.0010979E-02,  6.4029318E-04
  0.7500000,      5.0011531E-02,  8.2912628E-04
  0.7500000,      5.0012082E-02,  1.0624856E-03
  0.7500000,      5.0012633E-02,  1.3485783E-03
  0.7500000,      5.0013192E-02,  1.6967575E-03
  0.7500000,      5.0013751E-02,  2.1176366E-03
  0.7500000,      5.0014324E-02,  2.6232060E-03
  0.7500000,      5.0014898E-02,  3.2269550E-03
  0.7500000,      5.0015479E-02,  3.9439951E-03
  0.7500000,      5.0016075E-02,  4.7911843E-03
  0.7500000,      5.0016671E-02,  5.7872487E-03
  0.7500000,      5.0017267E-02,  6.9529000E-03
  0.7500000,      5.0017878E-02,  8.3109485E-03
  0.7500000,      5.0018489E-02,  9.8864008E-03
  0.7500000,      5.0019115E-02,  1.1706542E-02
  0.7500000,      5.0019749E-02,  1.3801008E-02
  0.7500000,      5.0020382E-02,  1.6201828E-02
  0.7500000,      5.0021037E-02,  1.8943433E-02
  0.7500000,      5.0021693E-02,  2.2062656E-02
  0.7500000,      5.0022356E-02,  2.5598664E-02
  0.7500000,      5.0023034E-02,  2.9592883E-02
  0.7500000,      5.0023712E-02,  3.4088861E-02
  0.7500000,      5.0024405E-02,  3.9132096E-02
  0.7500000,      5.0025105E-02,  4.4769824E-02
