"x","cf"
 2.780639759E-16, 2.100788988E-02
 7.999999798E-04, 1.480673905E-02
 1.606264967E-03, 7.900024764E-03
 2.418837277E-03, 6.723596249E-03
 3.237759229E-03, 5.989281926E-03
 4.063073546E-03, 5.448440555E-03
 4.894822836E-03, 5.030976608E-03
 5.733050406E-03, 4.695462994E-03
 6.577799562E-03, 4.419852048E-03
 7.429112680E-03, 4.190551117E-03
 8.287033997E-03, 4.002104513E-03
 9.151606821E-03, 3.857874777E-03
 1.002287492E-02, 3.771013580E-03
 1.090088207E-02, 3.760324558E-03
 1.178567298E-02, 3.839551006E-03
 1.267729141E-02, 4.004523624E-03
 1.357578207E-02, 4.227867350E-03
 1.448118873E-02, 4.467349965E-03
 1.539355703E-02, 4.683333449E-03
 1.631293073E-02, 4.852978513E-03
 1.723935641E-02, 4.972568713E-03
 1.817287691E-02, 5.050379783E-03
 1.911354065E-02, 5.098110531E-03
 2.006139047E-02, 5.125747528E-03
 2.101647109E-02, 5.140082911E-03
 2.197883092E-02, 5.145206116E-03
 2.294851467E-02, 5.143490154E-03
 2.392556891E-02, 5.136388354E-03
 2.491003834E-02, 5.124914926E-03
 2.590196952E-02, 5.109885242E-03
 2.690140903E-02, 5.092008505E-03
 2.790840343E-02, 5.071909633E-03
 2.892299928E-02, 5.050135311E-03
 2.994524129E-02, 5.027153995E-03
 3.097517975E-02, 5.003357772E-03
 3.201285750E-02, 4.979062825E-03
 3.305832669E-02, 4.954514094E-03
 3.411163017E-02, 4.929902963E-03
 3.517281637E-02, 4.905376118E-03
 3.624192998E-02, 4.881045781E-03
 3.731902316E-02, 4.856992047E-03
 3.840414062E-02, 4.833268002E-03
 3.949733078E-02, 4.809909966E-03
 4.059864208E-02, 4.786945414E-03
 4.170811921E-02, 4.764392041E-03
 4.282581061E-02, 4.742260557E-03
 4.395176470E-02, 4.720551893E-03
 4.508602992E-02, 4.699260928E-03
 4.622865468E-02, 4.678380210E-03
 4.737968370E-02, 4.657903686E-03
 4.853916913E-02, 4.637826234E-03
 4.970715567E-02, 4.618139472E-03
 5.088369548E-02, 4.598832689E-03
 5.206883326E-02, 4.579891451E-03
 5.326262116E-02, 4.561302718E-03
 5.446510017E-02, 4.543054383E-03
 5.567632616E-02, 4.525137134E-03
 5.689634383E-02, 4.507542588E-03
 5.812519789E-02, 4.490262363E-03
 5.936294422E-02, 4.473284818E-03
 6.060962752E-02, 4.456599243E-03
 6.186529621E-02, 4.440193065E-03
 6.312999874E-02, 4.424055107E-03
 6.440377980E-02, 4.408176523E-03
 6.568669528E-02, 4.392550793E-03
 6.697878242E-02, 4.377170466E-03
 6.828010082E-02, 4.362029023E-03
 6.959069520E-02, 4.347118549E-03
 7.091061771E-02, 4.332431592E-03
 7.223990560E-02, 4.317959305E-03
 7.357861102E-02, 4.303692840E-03
 7.492678612E-02, 4.289623350E-03
 7.628447562E-02, 4.275745712E-03
 7.765173167E-02, 4.262055270E-03
 7.902859896E-02, 4.248548299E-03
 8.041512221E-02, 4.235217813E-03
 8.181135356E-02, 4.222052172E-03
 8.321733773E-02, 4.209036473E-03
 8.463312685E-02, 4.196155351E-03
 8.605875820E-02, 4.183394834E-03
 8.749429882E-02, 4.170744214E-03
 8.893977106E-02, 4.158197902E-03
 9.039524198E-02, 4.145755898E-03
 9.186074883E-02, 4.133419134E-03
 9.333634377E-02, 4.121190403E-03
 9.482206404E-02, 4.109070636E-03
 9.631796926E-02, 4.097060766E-03
 9.782408923E-02, 4.085159861E-03
 9.934049100E-02, 4.073365591E-03
 1.008672044E-01, 4.061677493E-03
 1.024042815E-01, 4.050093237E-03
 1.039517671E-01, 4.038609564E-03
 1.055097058E-01, 4.027223680E-03
