"x","cp"
 2.780639759E-16, 4.667586461E-02
 7.999999798E-04, 1.713114418E-02
 1.606264967E-03, 2.633275278E-02
 2.418837277E-03, 2.429840155E-02
 3.237759229E-03, 2.607842721E-02
 4.063073546E-03, 2.631503344E-02
 4.894822836E-03, 2.697122656E-02
 5.733050406E-03, 2.730760723E-02
 6.577799562E-03, 2.767803520E-02
 7.429112680E-03, 2.796726301E-02
 8.287033997E-03, 2.824307606E-02
 9.151606821E-03, 2.848627977E-02
 1.002287492E-02, 2.871070802E-02
 1.090088207E-02, 2.891391702E-02
 1.178567298E-02, 2.909981646E-02
 1.267729141E-02, 2.926924266E-02
 1.357578207E-02, 2.942425944E-02
 1.448118873E-02, 2.956626378E-02
 1.539355703E-02, 2.969683148E-02
 1.631293073E-02, 2.981733717E-02
 1.723935641E-02, 2.992908657E-02
 1.817287691E-02, 3.003323451E-02
 1.911354065E-02, 3.013082221E-02
 2.006139047E-02, 3.022276424E-02
 2.101647109E-02, 3.030987643E-02
 2.197883092E-02, 3.039285727E-02
 2.294851467E-02, 3.047232144E-02
 2.392556891E-02, 3.054881841E-02
 2.491003834E-02, 3.062283807E-02
 2.590196952E-02, 3.069479950E-02
 2.690140903E-02, 3.076509014E-02
 2.790840343E-02, 3.083404899E-02
 2.892299928E-02, 3.090197593E-02
 2.994524129E-02, 3.096914105E-02
 3.097517975E-02, 3.103577718E-02
 3.201285750E-02, 3.110209480E-02
 3.305832669E-02, 3.116828017E-02
 3.411163017E-02, 3.123449720E-02
 3.517281637E-02, 3.130089492E-02
 3.624192998E-02, 3.136761114E-02
 3.731902316E-02, 3.143475950E-02
 3.840414062E-02, 3.150245547E-02
 3.949733078E-02, 3.157079220E-02
 4.059864208E-02, 3.163986653E-02
 4.170811921E-02, 3.170976043E-02
 4.282581061E-02, 3.178054839E-02
 4.395176470E-02, 3.185230866E-02
 4.508602992E-02, 3.192509711E-02
 4.622865468E-02, 3.199898079E-02
 4.737968370E-02, 3.207401559E-02
 4.853916913E-02, 3.215026110E-02
 4.970715567E-02, 3.222776577E-02
 5.088369548E-02, 3.230657801E-02
 5.206883326E-02, 3.238674626E-02
 5.326262116E-02, 3.246831521E-02
