 "x","cp"
 2.780639759E-16, 4.904050007E-02
 7.999999798E-04, 2.136687748E-02
 1.606264967E-03, 2.782421745E-02
 2.418837277E-03, 2.541324869E-02
 3.237759229E-03, 2.650037594E-02
 4.063073546E-03, 2.638345398E-02
 4.894822836E-03, 2.665209211E-02
 5.733050406E-03, 2.662919648E-02
 6.577799562E-03, 2.656496130E-02
 7.429112680E-03, 2.630768716E-02
 8.287033997E-03, 2.591212839E-02
 9.151606821E-03, 2.549402043E-02
 1.002287492E-02, 2.535635419E-02
 1.090088207E-02, 2.581919543E-02
 1.178567298E-02, 2.700429037E-02
 1.267729141E-02, 2.868128754E-02
 1.357578207E-02, 3.039645404E-02
 1.448118873E-02, 3.172949329E-02
 1.539355703E-02, 3.252491727E-02
 1.631293073E-02, 3.287824243E-02
 1.723935641E-02, 3.295213357E-02
 1.817287691E-02, 3.288577497E-02
 1.911354065E-02, 3.276807815E-02
 2.006139047E-02, 3.264411539E-02
 2.101647109E-02, 3.253123537E-02
 2.197883092E-02, 3.243299946E-02
 2.294851467E-02, 3.234787658E-02
 2.392556891E-02, 3.227334470E-02
 2.491003834E-02, 3.220746294E-02
 2.590196952E-02, 3.214916959E-02
 2.690140903E-02, 3.209804744E-02
 2.790840343E-02, 3.205403313E-02
 2.892299928E-02, 3.201711923E-02
 2.994524129E-02, 3.198730946E-02
 3.097517975E-02, 3.196460009E-02
 3.201285750E-02, 3.194877505E-02
 3.305832669E-02, 3.193958104E-02
 3.411163017E-02, 3.193672374E-02
 3.517281637E-02, 3.193986043E-02
 3.624192998E-02, 3.194869310E-02
 3.731902316E-02, 3.196282685E-02
 3.840414062E-02, 3.198195621E-02
 3.949733078E-02, 3.200578690E-02
 4.059864208E-02, 3.203401715E-02
 4.170811921E-02, 3.206641972E-02
 4.282581061E-02, 3.210279346E-02
 4.395176470E-02, 3.214292228E-02
 4.508602992E-02, 3.218657896E-02
 4.622865468E-02, 3.223360702E-02
 4.737968370E-02, 3.228389099E-02
 4.853916913E-02, 3.233731911E-02
 4.970715567E-02, 3.239377961E-02
 5.088369548E-02, 3.245316073E-02
 5.206883326E-02, 3.251536563E-02
 5.326262116E-02, 3.258031979E-02
 5.446510017E-02, 3.264795989E-02
 5.567632616E-02, 3.271824121E-02
 5.689634383E-02, 3.279111907E-02
 5.812519789E-02, 3.286654875E-02
 5.936294422E-02, 3.294449300E-02
 6.060962752E-02, 3.302490711E-02
 6.186529621E-02, 3.310775757E-02
 6.312999874E-02, 3.319302946E-02
 6.440377980E-02, 3.328071535E-02
 6.568669528E-02, 3.337081149E-02
 6.697878242E-02, 3.346331418E-02
 6.828010082E-02, 3.355821595E-02
 6.959069520E-02, 3.365552798E-02
 7.091061771E-02, 3.375525028E-02
 7.223990560E-02, 3.385735676E-02
 7.357861102E-02, 3.396184370E-02
 7.492678612E-02, 3.406873718E-02
 7.628447562E-02, 3.417805955E-02
 7.765173167E-02, 3.428989276E-02
 7.902859896E-02, 3.440425918E-02
 8.041512221E-02, 3.452113643E-02
 8.181135356E-02, 3.464052454E-02
 8.321733773E-02, 3.476236761E-02
 8.463312685E-02, 3.488661349E-02
 8.605875820E-02, 3.501322865E-02
 8.749429882E-02, 3.514224663E-02
 8.893977106E-02, 3.527376428E-02
 9.039524198E-02, 3.540785983E-02
 9.186074883E-02, 3.554456308E-02
 9.333634377E-02, 3.568394110E-02
 9.482206404E-02, 3.582609817E-02
 9.631796926E-02, 3.597105667E-02
 9.782408923E-02, 3.611880541E-02
 9.934049100E-02, 3.626946732E-02
 1.008672044E-01, 3.642307594E-02
 1.024042815E-01, 3.657960892E-02
 1.039517671E-01, 3.673917428E-02
 1.055097058E-01, 3.690182790E-02
 1.070781425E-01, 3.706753999E-02
 1.086571217E-01, 3.723643348E-02
 1.102466956E-01, 3.740857169E-02
 1.118469015E-01, 3.758393228E-02
 1.134577915E-01, 3.776266053E-02
 1.150793955E-01, 3.794478998E-02
 1.167117655E-01, 3.813031316E-02
 1.183549538E-01, 3.831938282E-02
 1.200089902E-01, 3.851200640E-02
 1.216739267E-01, 3.870825842E-02
 1.233498007E-01, 3.890824318E-02
 1.250366569E-01, 3.911195323E-02
 1.267345399E-01, 3.931953385E-02
 1.284434944E-01, 3.953102976E-02
 1.301635504E-01, 3.974650428E-02
 1.318947524E-01, 3.996608779E-02
