 "x","y","mut"
 7.500003741E-01, 4.999999828E-02, 0.000000000E+00
 7.500003741E-01, 5.000049328E-02, 3.393837030E-09
 7.500003741E-01, 5.000098848E-02, 5.434894830E-08
 7.500003741E-01, 5.000148409E-02, 2.755302975E-07
 7.500003741E-01, 5.000198030E-02, 8.725105700E-07
 7.500003741E-01, 5.000247731E-02, 2.135453571E-06
 7.500003741E-01, 5.000297533E-02, 4.441473710E-06
 7.500003741E-01, 5.000347457E-02, 8.257689864E-06
 7.500003741E-01, 5.000397522E-02, 1.414498841E-05
 7.500003741E-01, 5.000447748E-02, 2.276252042E-05
 7.500003741E-01, 5.000498157E-02, 3.487296348E-05
 7.500003741E-01, 5.000548768E-02, 5.134857651E-05
 7.500003741E-01, 5.000599603E-02, 7.317809781E-05
 7.500003741E-01, 5.000650682E-02, 1.014744981E-04
 7.500003741E-01, 5.000702025E-02, 1.374836740E-04
 7.500003741E-01, 5.000753655E-02, 1.825941354E-04
 7.500003741E-01, 5.000805590E-02, 2.383476854E-04
 7.500003741E-01, 5.000857854E-02, 3.064512136E-04
 7.500003741E-01, 5.000910466E-02, 3.887897403E-04
 7.500003741E-01, 5.000963449E-02, 4.874405587E-04
 7.500003741E-01, 5.001016824E-02, 6.046888463E-04
 7.500003741E-01, 5.001070613E-02, 7.430446418E-04
 7.500003741E-01, 5.001124837E-02, 9.052613927E-04
 7.500003741E-01, 5.001179519E-02, 1.094356016E-03
 7.500003741E-01, 5.001234681E-02, 1.313630871E-03
 7.500003741E-01, 5.001290345E-02, 1.566697404E-03
 7.500003741E-01, 5.001346534E-02, 1.857501964E-03
 7.500003741E-01, 5.001403270E-02, 2.190353690E-03
 7.500003741E-01, 5.001460578E-02, 2.569954632E-03
 7.500003741E-01, 5.001518480E-02, 3.001432412E-03
 7.500003741E-01, 5.001576999E-02, 3.490375111E-03
 7.500003741E-01, 5.001636160E-02, 4.042869873E-03
 7.500003741E-01, 5.001695987E-02, 4.665543100E-03
 7.500003741E-01, 5.001756504E-02, 5.365604926E-03
 7.500003741E-01, 5.001817735E-02, 6.150896821E-03
 7.500003741E-01, 5.001879706E-02, 7.029942266E-03
 7.500003741E-01, 5.001942441E-02, 8.012001285E-03
 7.500003741E-01, 5.002005967E-02, 9.107129938E-03
 7.500003741E-01, 5.002070308E-02, 1.032624273E-02
 7.500003741E-01, 5.002135492E-02, 1.168118018E-02
 7.500003741E-01, 5.002201545E-02, 1.318478111E-02
 7.500003741E-01, 5.002268493E-02, 1.485095925E-02
 7.500003741E-01, 5.002336364E-02, 1.669478613E-02
 7.500003741E-01, 5.002405185E-02, 1.873257812E-02
 7.500003741E-01, 5.002474985E-02, 2.098198916E-02
 7.500003741E-01, 5.002545792E-02, 2.346211129E-02
 7.500003741E-01, 5.002617634E-02, 2.619357746E-02
 7.500003741E-01, 5.002690541E-02, 2.919867429E-02
 7.500003741E-01, 5.002764543E-02, 3.250145805E-02
 7.500003741E-01, 5.002839669E-02, 3.612787945E-02
 7.500003741E-01, 5.002915950E-02, 4.010591210E-02
 7.500003741E-01, 5.002993418E-02, 4.446569061E-02
 7.500003741E-01, 5.003072103E-02, 4.923965079E-02
 7.500003741E-01, 5.003152038E-02, 5.446268090E-02
 7.500003741E-01, 5.003233256E-02, 6.017227270E-02
 7.500003741E-01, 5.003315788E-02, 6.640868487E-02
 7.500003741E-01, 5.003399669E-02, 7.321510467E-02
 7.500003741E-01, 5.003484934E-02, 8.063781697E-02
 7.500003741E-01, 5.003571616E-02, 8.872637866E-02
 7.500003741E-01, 5.003659750E-02, 9.753379132E-02
 7.500003741E-01, 5.003749374E-02, 1.071166786E-01
 7.500003741E-01, 5.003840523E-02, 1.175354581E-01
 7.500003741E-01, 5.003933234E-02, 1.288545201E-01
 7.500003741E-01, 5.004027545E-02, 1.411423960E-01
 7.500003741E-01, 5.004123494E-02, 1.544719209E-01
 7.500003741E-01, 5.004221121E-02, 1.689203894E-01
 7.500003741E-01, 5.004320465E-02, 1.845697060E-01
 7.500003741E-01, 5.004421567E-02, 2.015065054E-01
 7.500003741E-01, 5.004524467E-02, 2.198222781E-01
 7.500003741E-01, 5.004629207E-02, 2.396134552E-01
 7.500003741E-01, 5.004735831E-02, 2.609814747E-01
 7.500003741E-01, 5.004844381E-02, 2.840328287E-01
 7.500003741E-01, 5.004954902E-02, 3.088790630E-01
 7.500003741E-01, 5.005067438E-02, 3.356367502E-01
 7.500003741E-01, 5.005182036E-02, 3.644274182E-01
 7.500003741E-01, 5.005298742E-02, 3.953774199E-01
 7.500003741E-01, 5.005417603E-02, 4.286177847E-01
 7.500003741E-01, 5.005538668E-02, 4.642839780E-01
 7.500003741E-01, 5.005661985E-02, 5.025156307E-01
 7.500003741E-01, 5.005787607E-02, 5.434561921E-01
 7.500003741E-01, 5.005915582E-02, 5.872525297E-01
 7.500003741E-01, 5.006045964E-02, 6.340544438E-01
 7.500003741E-01, 5.006178805E-02, 6.840141453E-01
 7.500003741E-01, 5.006314160E-02, 7.372856464E-01
 7.500003741E-01, 5.006452083E-02, 7.940240722E-01
 7.500003741E-01, 5.006592630E-02, 8.543849467E-01
 7.500003741E-01, 5.006735860E-02, 9.185233846E-01
 7.500003741E-01, 5.006881829E-02, 9.865932468E-01
 7.500003741E-01, 5.007030598E-02, 1.058746225E+00
 7.500003741E-01, 5.007182227E-02, 1.135130927E+00
 7.500003741E-01, 5.007336778E-02, 1.215891881E+00
 7.500003741E-01, 5.007494312E-02, 1.301168556E+00
 7.500003741E-01, 5.007654896E-02, 1.391094362E+00
 7.500003741E-01, 5.007818593E-02, 1.485795650E+00
 7.500003741E-01, 5.007985471E-02, 1.585390741E+00
 7.500003741E-01, 5.008155597E-02, 1.689989002E+00
 7.500003741E-01, 5.008329040E-02, 1.799689920E+00
 7.500003741E-01, 5.008505872E-02, 1.914582329E+00
 7.500003741E-01, 5.008686164E-02, 2.034743629E+00
 7.500003741E-01, 5.008869989E-02, 2.160239164E+00
 7.500003741E-01, 5.009057422E-02, 2.291121680E+00
 7.500003741E-01, 5.009248539E-02, 2.427430916E+00
 7.500003741E-01, 5.009443419E-02, 2.569193318E+00
 7.500003741E-01, 5.009642140E-02, 2.716421892E+00
 7.500003741E-01, 5.009844783E-02, 2.869116211E+00
 7.500003741E-01, 5.010051431E-02, 3.027262571E+00
 7.500003741E-01, 5.010262167E-02, 3.190834262E+00
 7.500003741E-01, 5.010477078E-02, 3.359792019E+00
 7.500003741E-01, 5.010696251E-02, 3.534084634E+00
 7.500003741E-01, 5.010919775E-02, 3.713649575E+00
 7.500003741E-01, 5.011147741E-02, 3.898413905E+00
 7.500003741E-01, 5.011380241E-02, 4.088295128E+00
 7.500003741E-01, 5.011617371E-02, 4.283202256E+00
 7.500003741E-01, 5.011859226E-02, 4.483036882E+00
 7.500003741E-01, 5.012105905E-02, 4.687694301E+00
 7.500003741E-01, 5.012357509E-02, 4.897064699E+00
 7.500003741E-01, 5.012614139E-02, 5.111034382E+00
 7.500003741E-01, 5.012875901E-02, 5.329486903E+00
 7.500003741E-01, 5.013142900E-02, 5.552304298E+00
 7.500003741E-01, 5.013415246E-02, 5.779368215E+00
 7.500003741E-01, 5.013693048E-02, 6.010560989E+00
 7.500003741E-01, 5.013976421E-02, 6.245766710E+00
 7.500003741E-01, 5.014265478E-02, 6.484872156E+00
