"x","y","mut"
 7.500000000E-01, 5.000000075E-02, 0.000000000E+00
 7.500000000E-01, 5.000049621E-02, 2.888682869E-11
 7.500000000E-01, 5.000099167E-02, 1.053683807E-09
 7.500000000E-01, 5.000148714E-02, 1.037752995E-08
 7.500000000E-01, 5.000198260E-02, 5.336716313E-08
 7.500000000E-01, 5.000247806E-02, 1.891639698E-07
 7.500000000E-01, 5.000297725E-02, 5.288425768E-07
 7.500000000E-01, 5.000347644E-02, 1.255708639E-06
 7.500000000E-01, 5.000397563E-02, 2.647791689E-06
 7.500000000E-01, 5.000447854E-02, 5.102709565E-06
 7.500000000E-01, 5.000498146E-02, 9.165147276E-06
 7.500000000E-01, 5.000548810E-02, 1.555724157E-05
 7.500000000E-01, 5.000599846E-02, 2.521218994E-05
 7.500000000E-01, 5.000650883E-02, 3.931142055E-05
 7.500000000E-01, 5.000702292E-02, 5.932572094E-05
 7.500000000E-01, 5.000753701E-02, 8.706068184E-05
 7.500000000E-01, 5.000805855E-02, 1.247068431E-04
 7.500000000E-01, 5.000858009E-02, 1.748949144E-04
 7.500000000E-01, 5.000910535E-02, 2.407565044E-04
 7.500000000E-01, 5.000963807E-02, 3.259905789E-04
 7.500000000E-01, 5.001017079E-02, 4.349361407E-04
 7.500000000E-01, 5.001070723E-02, 5.726510426E-04
 7.500000000E-01, 5.001125112E-02, 7.449977566E-04
 7.500000000E-01, 5.001179874E-02, 9.587349487E-04
 7.500000000E-01, 5.001235008E-02, 1.221616403E-03
 7.500000000E-01, 5.001290515E-02, 1.542495680E-03
 7.500000000E-01, 5.001346767E-02, 1.931436127E-03
 7.500000000E-01, 5.001403391E-02, 2.399827586E-03
 7.500000000E-01, 5.001460761E-02, 2.960504964E-03
 7.500000000E-01, 5.001518503E-02, 3.627871862E-03
 7.500000000E-01, 5.001576990E-02, 4.418022931E-03
 7.500000000E-01, 5.001636222E-02, 5.348869599E-03
 7.500000000E-01, 5.001696199E-02, 6.440256257E-03
 7.500000000E-01, 5.001756549E-02, 7.714076899E-03
 7.500000000E-01, 5.001818016E-02, 9.194378741E-03
 7.500000000E-01, 5.001879856E-02, 1.090745255E-02
 7.500000000E-01, 5.001942441E-02, 1.288190950E-02
 7.500000000E-01, 5.002006143E-02, 1.514873374E-02
 7.500000000E-01, 5.002070591E-02, 1.774130948E-02
 7.500000000E-01, 5.002135783E-02, 2.069542557E-02
 7.500000000E-01, 5.002201721E-02, 2.404923178E-02
 7.500000000E-01, 5.002268776E-02, 2.784317173E-02
 7.500000000E-01, 5.002336577E-02, 3.211987019E-02
 7.500000000E-01, 5.002405494E-02, 3.692398593E-02
 7.500000000E-01, 5.002475157E-02, 4.230199382E-02
 7.500000000E-01, 5.002545938E-02, 4.830196500E-02
 7.500000000E-01, 5.002617836E-02, 5.497328192E-02
 7.500000000E-01, 5.002690852E-02, 6.236631051E-02
 7.500000000E-01, 5.002764612E-02, 7.053206116E-02
 7.500000000E-01, 5.002839863E-02, 7.952182740E-02
 7.500000000E-01, 5.002916232E-02, 8.938676864E-02
 7.500000000E-01, 5.002993718E-02, 1.001775637E-01
 7.500000000E-01, 5.003072321E-02, 1.119439751E-01
 7.500000000E-01, 5.003152043E-02, 1.247345284E-01
 7.500000000E-01, 5.003233254E-02, 1.385961473E-01
 7.500000000E-01, 5.003315955E-02, 1.535738260E-01
 7.500000000E-01, 5.003399774E-02, 1.697104126E-01
 7.500000000E-01, 5.003485084E-02, 1.870463789E-01
 7.500000000E-01, 5.003571883E-02, 2.056196779E-01
 7.500000000E-01, 5.003659800E-02, 2.254656255E-01
 7.500000000E-01, 5.003749579E-02, 2.466169000E-01
 7.500000000E-01, 5.003840849E-02, 2.691034973E-01
 7.500000000E-01, 5.003933236E-02, 2.929528952E-01
 7.500000000E-01, 5.004027858E-02, 3.181900382E-01
 7.500000000E-01, 5.004123598E-02, 3.448376358E-01
 7.500000000E-01, 5.004221201E-02, 3.729161322E-01
 7.500000000E-01, 5.004320666E-02, 4.024441540E-01
 7.500000000E-01, 5.004421622E-02, 4.334384501E-01
 7.500000000E-01, 5.004524812E-02, 4.659143090E-01
 7.500000000E-01, 5.004629493E-02, 4.998856485E-01
 7.500000000E-01, 5.004736036E-02, 5.353652835E-01
 7.500000000E-01, 5.004844442E-02, 5.723649263E-01
 7.500000000E-01, 5.004955083E-02, 6.108958125E-01
 7.500000000E-01, 5.005067587E-02, 6.509681344E-01
 7.500000000E-01, 5.005182326E-02, 6.925919056E-01
 7.500000000E-01, 5.005298927E-02, 7.357764244E-01
 7.500000000E-01, 5.005417764E-02, 7.805308104E-01
 7.500000000E-01, 5.005538836E-02, 8.268637657E-01
 7.500000000E-01, 5.005662143E-02, 8.747837543E-01
 7.500000000E-01, 5.005787686E-02, 9.234794378E-01
 7.500000000E-01, 5.005915835E-02, 9.711983800E-01
 7.500000000E-01, 5.006046221E-02, 1.020189524E+00
 7.500000000E-01, 5.006178841E-02, 1.070830464E+00
 7.500000000E-01, 5.006314442E-02, 1.123235226E+00
 7.500000000E-01, 5.006452277E-02, 1.177458525E+00
 7.500000000E-01, 5.006592721E-02, 1.233541608E+00
 7.500000000E-01, 5.006736144E-02, 1.291523814E+00
 7.500000000E-01, 5.006882176E-02, 1.351442933E+00
 7.500000000E-01, 5.007030815E-02, 1.413337111E+00
 7.500000000E-01, 5.007182434E-02, 1.477244139E+00
 7.500000000E-01, 5.007337034E-02, 1.543201923E+00
 7.500000000E-01, 5.007494614E-02, 1.611247540E+00
 7.500000000E-01, 5.007655174E-02, 1.681418896E+00
 7.500000000E-01, 5.007818714E-02, 1.753753304E+00
 7.500000000E-01, 5.007985607E-02, 1.828287840E+00
 7.500000000E-01, 5.008155853E-02, 1.905059338E+00
 7.500000000E-01, 5.008329079E-02, 1.984105229E+00
 7.500000000E-01, 5.008506030E-02, 2.065461874E+00
 7.500000000E-01, 5.008686334E-02, 2.149166822E+00
 7.500000000E-01, 5.008869991E-02, 2.235255957E+00
 7.500000000E-01, 5.009057745E-02, 2.323765993E+00
 7.500000000E-01, 5.009248853E-02, 2.414728880E+00
 7.500000000E-01, 5.009443685E-02, 2.508166790E+00
 7.500000000E-01, 5.009642243E-02, 2.604116440E+00
 7.500000000E-01, 5.009844899E-02, 2.702619791E+00
 7.500000000E-01, 5.010051653E-02, 2.803714514E+00
 7.500000000E-01, 5.010262504E-02, 2.907434225E+00
 7.500000000E-01, 5.010477081E-02, 3.013810396E+00
 7.500000000E-01, 5.010696501E-02, 3.122876644E+00
 7.500000000E-01, 5.010920018E-02, 3.234665632E+00
 7.500000000E-01, 5.011148006E-02, 3.349209070E+00
 7.500000000E-01, 5.011380464E-02, 3.466536283E+00
 7.500000000E-01, 5.011617392E-02, 3.586678982E+00
 7.500000000E-01, 5.011859536E-02, 3.709666729E+00
 7.500000000E-01, 5.012106150E-02, 3.835530043E+00
 7.500000000E-01, 5.012357607E-02, 3.964297533E+00
 7.500000000E-01, 5.012614280E-02, 4.095997810E+00
 7.500000000E-01, 5.012876168E-02, 4.230659485E+00
 7.500000000E-01, 5.013142899E-02, 4.368309975E+00
 7.500000000E-01, 5.013415590E-02, 4.508975983E+00
 7.500000000E-01, 5.013693124E-02, 4.652683735E+00
 7.500000000E-01, 5.013976619E-02, 4.799458981E+00
 7.500000000E-01, 5.014265701E-02, 4.949327469E+00
 7.500000000E-01, 5.014560372E-02, 5.102312088E+00
 7.500000000E-01, 5.014861375E-02, 5.258438110E+00
 7.500000000E-01, 5.015167966E-02, 5.417726994E+00
 7.500000000E-01, 5.015481263E-02, 5.580201626E+00
 7.500000000E-01, 5.015800521E-02, 5.745884418E+00
 7.500000000E-01, 5.016126111E-02, 5.914788723E+00
 7.500000000E-01, 5.016458407E-02, 6.086941242E+00
 7.500000000E-01, 5.016797408E-02, 6.262361050E+00
 7.500000000E-01, 5.017143115E-02, 6.441057205E+00
 7.500000000E-01, 5.017495900E-02, 6.623054504E+00
 7.500000000E-01, 5.017855763E-02, 6.808366299E+00
 7.500000000E-01, 5.018223077E-02, 6.997006893E+00
 7.500000000E-01, 5.018597469E-02, 7.188991070E+00
 7.500000000E-01, 5.018979684E-02, 7.384333611E+00
 7.500000000E-01, 5.019369721E-02, 7.583048820E+00
 7.500000000E-01, 5.019767210E-02, 7.785151005E+00
 7.500000000E-01, 5.020173267E-02, 7.990651131E+00
 7.500000000E-01, 5.020587146E-02, 8.199561119E+00
 7.500000000E-01, 5.021009594E-02, 8.411893845E+00
 7.500000000E-01, 5.021440238E-02, 8.627648354E+00
 7.500000000E-01, 5.021880195E-02, 8.846831322E+00
 7.500000000E-01, 5.022328719E-02, 9.069461823E+00
 7.500000000E-01, 5.022786185E-02, 9.295538902E+00
 7.500000000E-01, 5.023252964E-02, 9.525071144E+00
 7.500000000E-01, 5.023729429E-02, 9.758058548E+00
 7.500000000E-01, 5.024215579E-02, 9.994503021E+00
 7.500000000E-01, 5.024711415E-02, 1.023440361E+01
 7.500000000E-01, 5.025217310E-02, 1.047776031E+01
 7.500000000E-01, 5.025733262E-02, 1.072457218E+01
 7.500000000E-01, 5.026260018E-02, 1.097483921E+01
 7.500000000E-01, 5.026797205E-02, 1.122855568E+01
 7.500000000E-01, 5.027345568E-02, 1.148571968E+01
 7.500000000E-01, 5.027904734E-02, 1.174632549E+01
 7.500000000E-01, 5.028475448E-02, 1.201034260E+01
 7.500000000E-01, 5.029057711E-02, 1.227777958E+01
 7.500000000E-01, 5.029651895E-02, 1.254861450E+01
 7.500000000E-01, 5.030258000E-02, 1.282283783E+01
 7.500000000E-01, 5.030876398E-02, 1.310044479E+01
 7.500000000E-01, 5.031507462E-02, 1.338139915E+01
