"x","y","omega_nondim","k_nondim"
 7.500000000E-01, 5.000000075E-02, 1.496632481E+01, 0.000000000E+00
 7.500000000E-01, 5.000049621E-02, 1.729725003E+00, 5.126636268E-11
 7.500000000E-01, 5.000099167E-02, 4.897064567E-01, 5.294186756E-10
 7.500000000E-01, 5.000148714E-02, 2.120466828E-01, 2.257751097E-09
 7.500000000E-01, 5.000198260E-02, 1.150808781E-01, 6.301228428E-09
 7.500000000E-01, 5.000247806E-02, 7.144156098E-02, 1.386546877E-08
 7.500000000E-01, 5.000297725E-02, 4.840519279E-02, 2.626399187E-08
 7.500000000E-01, 5.000347644E-02, 3.485593200E-02, 4.490606642E-08
 7.500000000E-01, 5.000397563E-02, 2.624356374E-02, 7.129236224E-08
 7.500000000E-01, 5.000447854E-02, 2.044130303E-02, 1.070145004E-07
 7.500000000E-01, 5.000498146E-02, 1.635178737E-02, 1.537569148E-07
 7.500000000E-01, 5.000548810E-02, 1.336386986E-02, 2.133002965E-07
 7.500000000E-01, 5.000599846E-02, 1.111587696E-02, 2.875261771E-07
 7.500000000E-01, 5.000650883E-02, 9.382932447E-03, 3.784223850E-07
 7.500000000E-01, 5.000702292E-02, 8.019374683E-03, 4.880893698E-07
 7.500000000E-01, 5.000753701E-02, 6.927538197E-03, 6.187467534E-07
 7.500000000E-01, 5.000805855E-02, 6.039982196E-03, 7.727409752E-07
 7.500000000E-01, 5.000858009E-02, 5.308940075E-03, 9.525523978E-07
 7.500000000E-01, 5.000910535E-02, 4.699818790E-03, 1.160803663E-06
 7.500000000E-01, 5.000963807E-02, 4.187074490E-03, 1.400267479E-06
 7.500000000E-01, 5.001017079E-02, 3.751515411E-03, 1.673874976E-06
 7.500000000E-01, 5.001070723E-02, 3.378498601E-03, 1.984723440E-06
 7.500000000E-01, 5.001125112E-02, 3.056695219E-03, 2.336083980E-06
 7.500000000E-01, 5.001179874E-02, 2.777230227E-03, 2.731409722E-06
 7.500000000E-01, 5.001235008E-02, 2.533071442E-03, 3.174341373E-06
 7.500000000E-01, 5.001290515E-02, 2.318589017E-03, 3.668713362E-06
 7.500000000E-01, 5.001346767E-02, 2.129232977E-03, 4.218559297E-06
 7.500000000E-01, 5.001403391E-02, 1.961292699E-03, 4.828113561E-06
 7.500000000E-01, 5.001460761E-02, 1.811719034E-03, 5.501814030E-06
 7.500000000E-01, 5.001518503E-02, 1.677986700E-03, 6.244299584E-06
 7.500000000E-01, 5.001576990E-02, 1.557989861E-03, 7.060407370E-06
 7.500000000E-01, 5.001636222E-02, 1.449960982E-03, 7.955164619E-06
 7.500000000E-01, 5.001696199E-02, 1.352407853E-03, 8.933777281E-06
 7.500000000E-01, 5.001756549E-02, 1.264062943E-03, 1.000161592E-05
 7.500000000E-01, 5.001818016E-02, 1.183843939E-03, 1.116419480E-05
