"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Turb_Kin_Energy","Omega","Pressure","Temperature","Mach","Pressure_Coefficient","Laminar_Viscosity","Skin_Friction_Coefficient_x","Skin_Friction_Coefficient_y","Heat_Flux","Y_Plus","Eddy_Viscosity"
24, 2.780639759250000e-16, 0.000000000000000e+00, 7.900914038531514e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.718274212980086e+05, 0.000000000000000e+00, 2.842468229615442e+08, 6.873096851920345e+04, 3.030438482899002e+02, 0.000000000000000e+00, 3.025681836755280e-02, 1.860283514801664e-05, 1.083661069031802e-02, 0.000000000000000e+00, -1.265555870542423e+02, 1.775208437593993e+00, 0.000000000000000e+00
25, 1.357578174370000e-02, 0.000000000000000e+00, 7.915257840315167e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.718162286158358e+05, 0.000000000000000e+00, 2.834042494917296e+08, 6.872649144633430e+04, 3.024749767466161e+02, 0.000000000000000e+00, 2.792845132950584e-02, 1.857603749908257e-05, 4.799780082404157e-03, 0.000000000000000e+00, -2.230714780136034e+01, 1.184222233728410e+00, 0.000000000000000e+00
26, 2.892299848160000e-02, 0.000000000000000e+00, 7.921693131928350e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.718321765558949e+05, 0.000000000000000e+00, 2.830228014188033e+08, 6.873287062235795e+04, 3.022573100659534e+02, 0.000000000000000e+00, 3.124603485281813e-02, 1.856577744065503e-05, 4.513069700641110e-03, 0.000000000000000e+00, -1.626138286761878e+01, 1.149410009292952e+00, 0.000000000000000e+00
27, 4.622865322460000e-02, 0.000000000000000e+00, 7.923678000467673e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.718363229294406e+05, 0.000000000000000e+00, 2.829032563202732e+08, 6.873452917177620e+04, 3.021888868509450e+02, 0.000000000000000e+00, 3.210858766562497e-02, 1.856255146120814e-05, 4.393282326192825e-03, 0.000000000000000e+00, -1.541560917297081e+01, 1.134392592999137e+00, 0.000000000000000e+00
28, 6.568669329250000e-02, 0.000000000000000e+00, 7.924581613635452e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.718435484768960e+05, 0.000000000000000e+00, 2.828563794696907e+08, 6.873741939075837e+04, 3.021671345719117e+02, 0.000000000000000e+00, 3.361168819748930e-02, 1.856152582229713e-05, 4.212306704939523e-03, 0.000000000000000e+00, -1.417329896337077e+01, 1.110906676725102e+00, 0.000000000000000e+00
29, 8.749429530330000e-02, 0.000000000000000e+00, 7.925239538328176e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.718529587769162e+05, 0.000000000000000e+00, 2.828277613496979e+08, 6.874118351076645e+04, 3.021585953080545e+02, 0.000000000000000e+00, 3.556927370262235e-02, 1.856112317872205e-05, 4.027714945789560e-03, 0.000000000000000e+00, -1.295881802076058e+01, 1.086361575244059e+00, 0.000000000000000e+00
30, 1.118469033200000e-01, 0.000000000000000e+00, 7.925892361116021e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.718653635608363e+05, 0.000000000000000e+00, 2.828031373762165e+08, 6.874614542433452e+04, 3.021555165412573e+02, 0.000000000000000e+00, 3.814978921693025e-02, 1.856097800727467e-05, 3.857297058097571e-03, 0.000000000000000e+00, -1.188560045442942e+01, 1.063182596879319e+00, 0.000000000000000e+00
31, 1.389319002520000e-01, 0.000000000000000e+00, 7.926655385898820e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.718816599194999e+05, 0.000000000000000e+00, 2.827763491510615e+08, 6.875266396779995e+04, 3.021550786405108e+02, 0.000000000000000e+00, 4.153985281083691e-02, 1.856095735911591e-05, 3.706637438524463e-03, 0.000000000000000e+00, -1.097537285252481e+01, 1.042264047699213e+00, 0.000000000000000e+00
32, 1.689208641960000e-01, 0.000000000000000e+00, 7.927579979137596e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.719037245446505e+05, 0.000000000000000e+00, 2.827465346465546e+08, 6.876148981786019e+04, 3.021586217432984e+02, 0.000000000000000e+00, 4.612986484852382e-02, 1.856112442520587e-05, 3.576988859575728e-03, 0.000000000000000e+00, -1.022098479706525e+01, 1.023924456001507e+00, 0.000000000000000e+00
33, 2.019604709780000e-01, 0.000000000000000e+00, 7.928762857027034e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.719353822553081e+05, 0.000000000000000e+00, 2.827124410615678e+08, 6.877415290212321e+04, 3.021691803320778e+02, 0.000000000000000e+00, 5.271548649457740e-02, 1.856162228320570e-05, 3.467667253785955e-03, 0.000000000000000e+00, -9.605621661193219e+00, 1.008204384028375e+00, 0.000000000000000e+00
