"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Nu_Tilde","Pressure","Temperature","Mach","Pressure_Coefficient","Laminar_Viscosity","Skin_Friction_Coefficient_x","Skin_Friction_Coefficient_y","Heat_Flux","Y_Plus","Eddy_Viscosity"
96, 2.780639759250000e-16, 0.000000000000000e+00, 7.911915210865457e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.718531842119243e+05, 0.000000000000000e+00, 6.874127368476972e+04, 3.026678527101723e+02, 0.000000000000000e+00, 3.561617000809742e-02, 1.858512599868927e-05, 1.822266932146838e-02, 0.000000000000000e+00, -1.195494227003569e+02, 5.671842791904883e-01, 0.000000000000000e+00
97, 3.237759250030000e-03, 0.000000000000000e+00, 7.917056667550398e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.717934842989876e+05, 0.000000000000000e+00, 6.871739371959504e+04, 3.023662204023344e+02, 0.000000000000000e+00, 2.319704585991691e-02, 1.857091154958354e-05, 5.423615429068984e-03, 0.000000000000000e+00, -5.894429893170831e+00, 3.097675952145877e-01, 0.000000000000000e+00
98, 6.577799401510000e-03, 0.000000000000000e+00, 7.921439345562280e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.718139927864827e+05, 0.000000000000000e+00, 6.872559711459308e+04, 3.022350070060782e+02, 0.000000000000000e+00, 2.746334106478738e-02, 1.856472594760444e-05, 4.784431125115772e-03, 0.000000000000000e+00, -4.561776375914485e+00, 2.911196676705043e-01, 0.000000000000000e+00
99, 1.002287487650000e-02, 0.000000000000000e+00, 7.923350436977429e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.718172286908772e+05, 0.000000000000000e+00, 6.872689147635088e+04, 3.021677995625790e+02, 0.000000000000000e+00, 2.813649277355954e-02, 1.856155717772016e-05, 4.724542166658741e-03, 0.000000000000000e+00, -4.448121999678515e+00, 2.893761769442068e-01, 0.000000000000000e+00
100, 1.357578174370000e-02, 0.000000000000000e+00, 7.924357857818040e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.718219046679315e+05, 0.000000000000000e+00, 6.872876186717256e+04, 3.021376074765205e+02, 0.000000000000000e+00, 2.910921679766112e-02, 1.856013353640030e-05, 4.736675339348090e-03, 0.000000000000000e+00, -4.460802020897696e+00, 2.897881602816643e-01, 0.000000000000000e+00
101, 1.723935597490000e-02, 0.000000000000000e+00, 7.924820358737292e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.718248910705478e+05, 0.000000000000000e+00, 6.872995642821910e+04, 3.021252254930277e+02, 0.000000000000000e+00, 2.973046569107286e-02, 1.855954967117785e-05, 4.708212523661059e-03, 0.000000000000000e+00, -4.406494481964526e+00, 2.889336961303880e-01, 0.000000000000000e+00
102, 2.101647148920000e-02, 0.000000000000000e+00, 7.925025516544899e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.718270264110645e+05, 0.000000000000000e+00, 6.873081056442580e+04, 3.021211588160751e+02, 0.000000000000000e+00, 3.017467168186572e-02, 1.855935790684799e-05, 4.662983280354451e-03, 0.000000000000000e+00, -4.322285146667139e+00, 2.875492253947772e-01, 0.000000000000000e+00
103, 2.491003797560000e-02, 0.000000000000000e+00, 7.925115867190902e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.718286521113112e+05, 0.000000000000000e+00, 6.873146084452445e+04, 3.021205728843611e+02, 0.000000000000000e+00, 3.051285933068091e-02, 1.855933027710860e-05, 4.610081131815687e-03, 0.000000000000000e+00, -4.224779695707925e+00, 2.859154864531456e-01, 0.000000000000000e+00
104, 2.892299848160000e-02, 0.000000000000000e+00, 7.925158704121473e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.718300571681510e+05, 0.000000000000000e+00, 6.873202286726038e+04, 3.021214103185747e+02, 0.000000000000000e+00, 3.080514745089321e-02, 1.855936976649590e-05, 4.555607493230746e-03, 0.000000000000000e+00, -4.125524302209724e+00, 2.842214128881710e-01, 0.000000000000000e+00
105, 3.305832675690000e-02, 0.000000000000000e+00, 7.925181891625278e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.718313811780167e+05, 0.000000000000000e+00, 6.873255247120668e+04, 3.021228543143763e+02, 0.000000000000000e+00, 3.108057570676978e-02, 1.855943785829768e-05, 4.502350139898604e-03, 0.000000000000000e+00, -4.029617484750423e+00, 2.825545595414415e-01, 0.000000000000000e+00
106, 3.731902434280000e-02, 0.000000000000000e+00, 7.925197685205979e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.718327010252526e+05, 0.000000000000000e+00, 6.873308041010103e+04, 3.021245728538455e+02, 0.000000000000000e+00, 3.135513802809514e-02, 1.855951889603342e-05, 4.451062708596606e-03, 0.000000000000000e+00, -3.938320086268225e+00, 2.809396775124503e-01, 0.000000000000000e+00
107, 4.170811739390000e-02, 0.000000000000000e+00, 7.925212300190705e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.718340603685772e+05, 0.000000000000000e+00, 6.873362414743088e+04, 3.021264057609085e+02, 0.000000000000000e+00, 3.163791655620391e-02, 1.855960532652577e-05, 4.401731768261088e-03, 0.000000000000000e+00, -3.851490647219248e+00, 2.793774751572919e-01, 0.000000000000000e+00
108, 4.622865322460000e-02, 0.000000000000000e+00, 7.925229376331780e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.718354873895333e+05, 0.000000000000000e+00, 6.873419495581331e+04, 3.021282638297997e+02, 0.000000000000000e+00, 3.193477378000406e-02, 1.855969294325980e-05, 4.354170979477240e-03, 0.000000000000000e+00, -3.768692703451400e+00, 2.778630242272413e-01, 0.000000000000000e+00
109, 5.088369656700000e-02, 0.000000000000000e+00, 7.925251153035121e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.718370020172613e+05, 0.000000000000000e+00, 6.873480080690450e+04, 3.021300967270842e+02, 0.000000000000000e+00, 3.224985547555297e-02, 1.855977937277608e-05, 4.308199199447375e-03, 0.000000000000000e+00, -3.689516090819518e+00, 2.763913714453746e-01, 0.000000000000000e+00
110, 5.567632553290000e-02, 0.000000000000000e+00, 7.925279021392133e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.718386196492699e+05, 0.000000000000000e+00, 6.873544785970793e+04, 3.021318784901134e+02, 0.000000000000000e+00, 3.258636472242140e-02, 1.855986339083248e-05, 4.263665273154281e-03, 0.000000000000000e+00, -3.613617640532029e+00, 2.749583681985289e-01, 0.000000000000000e+00
111, 6.060962726810000e-02, 0.000000000000000e+00, 7.925313872903365e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.718403531754084e+05, 0.000000000000000e+00, 6.873614127016334e+04, 3.021335977922200e+02, 0.000000000000000e+00, 3.294698294227145e-02, 1.855994446334932e-05, 4.220441669522423e-03, 0.000000000000000e+00, -3.540707022617116e+00, 2.735605067610184e-01, 0.000000000000000e+00
112, 6.568669329250000e-02, 0.000000000000000e+00, 7.925356328351255e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.718422141835730e+05, 0.000000000000000e+00, 6.873688567342916e+04, 3.021352513378295e+02, 0.000000000000000e+00, 3.333412071684334e-02, 1.856002243495118e-05, 4.178418268162604e-03, 0.000000000000000e+00, -3.470533720504767e+00, 2.721947490951580e-01, 0.000000000000000e+00
113, 7.091061451489999e-02, 0.000000000000000e+00, 7.925406874216716e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.718442136782640e+05, 0.000000000000000e+00, 6.873768547130559e+04, 3.021368399254736e+02, 0.000000000000000e+00, 3.375006726652242e-02, 1.856009734331686e-05, 4.137498529122320e-03, 0.000000000000000e+00, -3.402878719956667e+00, 2.708584229494613e-01, 0.000000000000000e+00
114, 7.628447591810000e-02, 0.000000000000000e+00, 7.925465938540962e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.718463625500172e+05, 0.000000000000000e+00, 6.873854502000684e+04, 3.021383663811594e+02, 0.000000000000000e+00, 3.419708810403803e-02, 1.856016932172713e-05, 4.097596495606781e-03, 0.000000000000000e+00, -3.337548051458383e+00, 2.695491385517257e-01, 0.000000000000000e+00
