 x/c cp
 1 0.1651332825
 0.9997505546 0.1752008051
 0.9994956851 0.183051616
 0.9992352128 0.1812659353
 0.9989690781 0.1810042411
 0.9986971617 0.1800036579
 0.9984192848 0.1792339683
 0.9981353879 0.1783257276
 0.9978453517 0.1774021089
 0.9975489378 0.1764169037
 0.9972460866 0.1753855199
 0.9969367385 0.174354136
 0.9966205955 0.1733073592
 0.9962975979 0.1722759902
 0.9959676266 0.1712446064
 0.9956305623 0.1702286154
 0.9952861071 0.1692126244
 0.9949342608 0.1682120264
 0.9945747852 0.1672114432
 0.994207561 0.1662108451
 0.9938323498 0.1652256399
 0.9934490919 0.1642250419
 0.9930576086 0.1632244587
 0.9926576614 0.1622238606
 0.9922491312 0.1612232625
 0.9918317795 0.1602226645
 0.9914054871 0.1592220813
 0.9909700155 0.1582060903
 0.9905252457 0.1571900994
 0.9900709391 0.1561741084
 0.9896069169 0.1551581174
 0.9891329408 0.1541267335
 0.9886488914 0.1530953497
 0.9881544709 0.1520639807
 0.9876495004 0.1510172039
 0.987133801 0.1499704272
 0.9866071343 0.1489236504
 0.986069262 0.1478614807
 0.9855199456 0.146799311
 0.9849590063 0.1457217485
 0.9843862057 0.1446441859
 0.9838012457 0.1435512304
 0.9832039475 0.142458275
 0.9825940728 0.1413653046
 0.9819713235 0.1402569562
 0.9813354611 0.139133215
 0.9806861877 0.1380094737
 0.9800233245 0.1368857324
 0.9793465734 0.1357465833
 0.9786556363 0.1346074492
 0.9779502153 0.133468315
 0.9772301316 0.132313773
 0.9764949679 0.131159246
 0.9757445455 0.129989326
 0.9749785066 0.128834784
 0.9741965532 0.127680257
 0.9733983874 0.126510337
 0.9725837111 0.1253711879
 0.9717522264 0.1242320538
 0.9709035754 0.1231083125
 0.9700374603 0.1220153496
 0.9691535234 0.1210147589
 0.9682514668 0.1200911328
 0.967330873 0.1191982925
 0.9663915038 0.1183670312
 0.9654329419 0.1175819486
 0.9644548297 0.116873838
 0.9634568691 0.116227299
 0.9624387026 0.1156269386
 0.9613999128 0.1151035503
 0.9603402019 0.1146417409
 0.9592591524 0.1142415032
 0.9581564069 0.113902837
 0.957031548 0.113610357
 0.9558842778 0.1133486629
 0.954714179 0.1131331548
 0.9535208941 0.1128868535
 0.952303946 0.1126867309
 0.9510630965 0.1119016483
 0.9497979283 0.110716328
 0.9485079646 0.1100851893
 0.9471927285 0.1097311303
 0.945851922 0.1090076268
 0.9444850683 0.1077145487
 0.9430918097 0.1063752919
 0.9416716695 0.1052977294
 0.9402241707 0.1042971313
 0.9387488365 0.1032349616
 0.937245369 0.1020958275
 0.935713172 0.1010028645
 0.9341518283 0.09990990907
 0.9325609803 0.0988169536
 0.9309400916 0.09773939103
 0.9292888045 0.09664643556
 0.927606523 0.09556887299
 0.9258929491 0.09449131042
 0.9241474867 0.09342914075
 0.9223697782 0.09235157073
 0.9205593467 0.09127400815
 0.9187157154 0.09015026689
 0.9168384075 0.08907270432
 0.9149270058 0.08804132044
 0.9129810929 0.08687139302
 0.9110001326 0.08554752916
 0.9089837074 0.0842390582
 0.9069313407 0.08297677338
 0.9048426151 0.08172988147
 0.9027169943 0.0804829821
 0.9005540609 0.07926687598
 0.8983533382 0.07803537697
 0.896114409 0.0767884776
 0.8938368559 0.07555697858
 0.8915202022 0.07432547957
 0.8891639709 0.07309398055
 0.8867678642 0.07186247408
 0.884331286 0.07063097507
 0.8818539381 0.06939947605
 0.8793354034 0.06816797704
 0.8767752051 0.06693647057
 0.8741729856 0.06570497155
 0.8715283871 0.06447347254
 0.8688409328 0.06322658062
 0.8661103249 0.06199507415
 0.8633361459 0.06074818224
 0.8605180979 0.0595166795
 0.8576557636 0.05826978385
 0.8547489047 0.05702289194
 0.8517971039 0.0557606034
 0.8488000631 0.05449831486
 0.845757544 0.05323602632
 0.842669189 0.05198913068
 0.8395348191 0.05074223503
 0.8363540173 0.04949534312
 0.8331267238 0.04823305458
 0.8298526406 0.04698615894
 0.8265314698 0.0457238704
 0.8231631517 0.04446158186
 0.8197475076 0.04319929332
 0.8162842989 0.04192161188
 0.8127734661 0.04064393044
 0.8092148304 0.03935085237
 0.8056083322 0.03804238141
 0.8019539118 0.03670312464
 0.7982515097 0.03534847498
 0.7945011258 0.03402461112
 0.790702641 0.03266996145
 0.7868561745 0.03131530806
 0.7829617262 0.0299606584
 0.7790193558 0.02859061398
 0.7750291824 0.02720517479
 0.7709913254 0.0258197356
 0.7669059038 0.02441890351
 0.7627730966 0.02298728377
 0.7585930824 0.02155566402
 0.7543661594 0.02010865137
 0.7500925064 0.0186308492
 0.7457724214 0.01713765413
 0.7414062619 0.01562906615
 0.7369942665 0.01410508342
 0.732536912 0.01256570779
 0.7280345559 0.01101093739
 0.723487556 0.009425380267
 0.7188965082 0.007824429311
 0.7142618299 0.006208084058
 0.7095840573 0.00457634544
 0.7048637271 0.00291381916
 0.7001014352 0.001235899166
 0.6952978373 -0.0004728084023
 0.6904534698 -0.002196909627
 0.6855691671 -0.003951798659
 0.6806454659 -0.005737474654
 0.67568326 -0.007553938776
 0.6706832051 -0.009385796264
 0.6656461954 -0.01126383524
 0.6605730057 -0.01315726805
 0.6554644704 -0.01508148853
 0.6503215432 -0.01702110283
 0.6451451778 -0.01906847209
 0.6399362087 -0.02120820433
 0.6346957088 -0.02339411899
 0.6294246316 -0.02564160898
 0.6241239905 -0.02793527953
 0.6187948585 -0.03025973774
 0.6134383082 -0.03261498362
 0.6080553532 -0.03500101715
 0.6026471853 -0.03727929294
 0.5972149372 -0.03960375115
 0.5917598009 -0.04211293161
 0.5862830281 -0.04465290532
 0.5807857513 -0.04723905772
 0.5752692223 -0.04988678172
 0.569734633 -0.05258069187
 0.5641833544 -0.05532078072
 0.5586165786 -0.058107052
 0.5530356765 -0.06077017263
 0.5474418402 -0.06352565438
 0.5418365002 -0.06657361984
 0.5362210274 -0.06969855726
 0.5305966735 -0.07288506627
 0.524964869 -0.07616393268
 0.5193268657 -0.07951977104
 0.5136840343 -0.08292179555
 0.508037746 -0.08632382005
 0.5023893118 -0.08932559937
 0.4967401624 -0.09272762388
 0.4910918772 -0.09691472352
 0.4854457378 -0.101194188
 0.4798030555 -0.1056275964
 0.4741651416 -0.1101995409
 0.4685332477 -0.1148176715
 0.462908715 -0.1194204018
 0.4572927952 -0.1237460524
 0.4516867995 -0.1270249188
 0.446092099 -0.1309657246
 0.4405103326 -0.1362303942
 0.4349427223 -0.1414180845
 0.4293904603 -0.1467751116
 0.4238547385 -0.1522399038
 0.4183367491 -0.1576892883
 0.4128376245 -0.1629847437
 0.407358557 -0.1678030044
 0.4019007087 -0.170912534
 0.3964653313 -0.1744685024
 0.391053915 -0.179610014
 0.3856675327 -0.18453601
 0.3803073168 -0.1895235926
 0.3749742508 -0.194541961
 0.3696694374 -0.1994833648
 0.3643938601 -0.2041168809
 0.359148562 -0.2085040957
 0.3539345562 -0.2109671086
 0.3487528563 -0.2127681673
 0.3436045647 -0.2162625641
 0.338490665 -0.2200186402
 0.333412081 -0.2236361653
 0.3283696175 -0.2272229195
 0.3233641684 -0.2307173014
 0.3183965683 -0.2339192033
 0.313467592 -0.2367362678
 0.308578074 -0.2389067858
 0.3037288189 -0.240769431
 0.298920542 -0.2410926968
 0.2941540182 -0.2390915006
 0.2894300222 -0.2360589355
 0.2847491205 -0.2323028594
 0.2801119089 -0.2279310226
 0.2755188346 -0.2232051492
 0.2709704041 -0.2183714956
 0.2664669752 -0.213661015
 0.2620089352 -0.209319979
 0.257596612 -0.2055023164
 0.2532302439 -0.2031162828
 0.248910144 -0.2022388428
 0.2446366549 -0.2017000616
 0.2404101193 -0.2014845461
 0.2362308204 -0.2016692758
 0.2320990115 -0.2020848989
 0.2280149311 -0.2026082873
 0.2239787877 -0.2031316757
 0.2199907601 -0.2035627067
 0.2160509974 -0.2038551867
 0.2121596336 -0.2039013654
 0.2083167732 -0.2036088854
 0.2045225054 -0.2029623538
 0.2007768899 -0.2016538829
 0.1970799714 -0.1994525641
 0.1934316903 -0.1966663003
 0.189831987 -0.1935567558
 0.1862806976 -0.1901393384
 0.1827777028 -0.1865064204
 0.179322809 -0.1827503443
 0.1759158373 -0.1789326817
 0.1725565642 -0.1751612127
 0.1692447662 -0.1714513153
 0.16598019 -0.1678953618
 0.1627625823 -0.1645241231
 0.1595916599 -0.1613991857
 0.1564671248 -0.158582136
 0.1533886939 -0.1563038528
 0.1503560394 -0.1548568457
 0.1473689079 -0.1534406096
 0.144427076 -0.1518396586
 0.1415302306 -0.1504696161
 0.138678059 -0.1492073387
 0.1358702183 -0.1479912251
 0.1331063509 -0.1468366981
 0.1303861141 -0.1457283497
 0.1277091354 -0.14466618
 0.1250750273 -0.143650189
 0.1224834174 -0.1426803768
 0.1199338958 -0.1417259723
 0.1174260676 -0.1408177316
 0.1149595231 -0.1399402916
 0.112533845 -0.1390782446
 0.1101486087 -0.1382315755
 0.107803382 -0.1374003142
 0.1054977328 -0.1365690529
 0.1032312289 -0.1357223988
 0.1010034159 -0.1347064078
 0.09881384671 -0.1337520033
 0.09666202962 -0.133074671
 0.09454749525 -0.132489711
 0.09246978164 -0.1320278943
 0.09042843431 -0.1317046285
 0.08842299879 -0.1315352917
 0.08645299822 -0.1315198988
 0.08451798558 -0.1316430569
 0.08261749148 -0.131920144
 0.08075105399 -0.13235116
 0.07891821861 -0.13293612
 0.07711853087 -0.1336904168
 0.07535152137 -0.1345832646
 0.07361673564 -0.1356454343
 0.07191371918 -0.1368923187
 0.07024202496 -0.138293162
 0.06860119104 -0.13987872
 0.06699077785 -0.1416489929
 0.06541033089 -0.1436040103
 0.06385941803 -0.1457437426
 0.06233758852 -0.1480835825
 0.06084440649 -0.1506389529
 0.05937944725 -0.1533944309
 0.05794227496 -0.1563346386
 0.05653246865 -0.1594903618
 0.05514961109 -0.1628154218
 0.05379329249 -0.1662944108
 0.05246310309 -0.1699427217
 0.05115865543 -0.1732677817
 0.04987955093 -0.1763927191
 0.04862534627 -0.1802411526
 0.04739559442 -0.1845975965
 0.04618990794 -0.1890617758
 0.04500791058 -0.1938030571
 0.04384922981 -0.1987752467
 0.04271349683 -0.2039475441
 0.04160035402 -0.2092891783
 0.04050944373 -0.2147231847
 0.0394404158 -0.2201879621
 0.0383929424 -0.2256219685
 0.03736666963 -0.2309482098
 0.03636128455 -0.2360897213
 0.03537644818 -0.2409695387
 0.03441184014 -0.2455107123
 0.03346714005 -0.2496670187
 0.03254200891 -0.253376931
 0.03163613379 -0.2566711903
 0.0307491608 -0.2595652044
 0.02988076396 -0.2621667683
 0.02903058194 -0.2645989656
 0.02819825523 -0.2670465708
 0.02738342062 -0.2697866559
 0.02658569999 -0.2729116082
 0.02580472454 -0.2776374817
 0.0250401143 -0.2844261229
 0.0242916923 -0.2900140584
 0.0235594064 -0.2942781448
 0.0228429772 -0.2990040183
 0.02214216255 -0.303529799
 0.02145670354 -0.3077630699
 0.02078633569 -0.311642319
 0.02013084479 -0.3151674867
 0.01948996261 -0.3182924092
 0.01886346564 -0.3209709227
 0.01825112849 -0.3232030272
 0.01765269414 -0.3249579072
 0.01706797071 -0.3261740208
 0.01649670675 -0.3268513381
 0.01593868062 -0.3269591033
 0.01539369021 -0.3264818788
 0.01486147661 -0.325419724
 0.0143418517 -0.3237572014
 0.01383457612 -0.3215250969
 0.01333940681 -0.318754226
 0.01285615284 -0.3154599667
 0.01238454878 -0.3117192686
 0.01192437578 -0.3076245189
 0.01147540938 -0.3032834828
 0.0110373795 -0.2987885177
 0.0106100766 -0.2943397164
 0.01019324362 -0.2886594236
 0.009786547162 -0.2856268585
 0.009389444254 -0.2865350842
 0.009001806378 -0.2876280248
 0.008623584174 -0.2892597616
 0.008254772052 -0.2914918661
 0.007895328104 -0.2941395938
 0.007545236498 -0.2969104648
 0.007204530761 -0.2995581925
 0.006873171311 -0.301790297
 0.006551199593 -0.3033142686
 0.006238665897 -0.3038530648
 0.005935526919 -0.3031449616
 0.005641892552 -0.3008666635
 0.005357792135 -0.2967565358
 0.005083175376 -0.2905374467
 0.004818195011 -0.281932354
 0.00456282869 -0.2707564831
 0.004316995386 -0.2568251193
 0.004080845043 -0.2399843484
 0.003854274284 -0.2202187479
 0.003637133632 -0.1975591332
 0.003429513192 -0.1721132547
 0.003231222741 -0.1440812051
 0.003042007098 -0.1137708947
 0.002861846006 -0.08153636009
 0.002690493362 -0.0478086248
 0.002527598292 -0.01295714919
 0.002372958232 0.02221759595
 0.002226354321 0.05794651806
 0.002087388886 0.08805671334
 0.001955782995 0.1204297915
 0.001832882059 0.1628396064
 0.001718537649 0.2061268687
 0.001612004358 0.2488753349
 0.001512641786 0.2911158204
 0.001420039567 0.3323403299
 0.001333664753 0.372194767
 0.001253001625 0.4103558958
 0.001177590457 0.4466697872
 0.001107052551 0.4810132682
 0.001041079056 0.5133555532
 0.0009793153731 0.5438044071
 0.0009214414749 0.5723906159
 0.0008671685355 0.5992065668
 0.0008162400336 0.6243292093
 0.0007684506127 0.6478354335
 0.0007235798985 0.6698639393
 0.000681422418 0.6904915571
 0.0006417906261 0.7097953558
 0.0006045130431 0.7278830409
 0.0005694334977 0.744816184
 0.0005364209646 0.7606717348
 0.0005053424393 0.7755420804
 0.0004760721931 0.789473474
 0.000448494422 0.8025427461
 0.0004225021112 0.8147962093
 0.0003979962203 0.8262953162
 0.0003748851304 0.8370863795
 0.0003530888062 0.8472154737
 0.0003325290454 0.8567441702
 0.0003131311678 0.8656879663
 0.0002948256733 0.8740929961
 0.0002775479225 0.8819899559
 0.0002612375538 0.8894251585
 0.0002458382514 0.8964139223
 0.0002312974975 0.9029870629
 0.0002175667032 0.9091753364
 0.0002046016161 0.9150095582
 0.0001923586824 0.9204897881
 0.0001807971275 0.9256466627
 0.00016987868 0.930511117
 0.0001595674548 0.9350830317
 0.0001498297497 0.9393932819
 0.0001406338997 0.9434418678
 0.0001319501753 0.9472595453
 0.0001237505348 0.9508616328
 0.0001160087122 0.9542483091
 0.0001087005658 0.9574347734
 0.0001018026742 0.9604365826
 0.00009529286035 0.9632690549
 0.00008915021317 0.9659321308
 0.00008335502935 0.9684413075
 0.00007788869698 0.9707965851
 0.0000727336519 0.9730132818
 0.00006787331949 0.9750914574
 0.00006329201278 0.9770618677
 0.00005897494339 0.9788936973
 0.00005490810508 0.9806331992
 0.00005107825564 0.982249558
 0.00004747289131 0.9837735295
 0.00004408036693 0.9852051139
 0.0000408894266 0.9865443707
 0.00003788941467 0.9878066778
 0.00003507024303 0.9889919758
 0.00003242235471 0.9900849462
 0.00002993670751 0.9911163449
 0.00002760472307 0.9920861721
 0.0000254182778 0.9929789901
 0.00002336967009 0.9938102365
 0.00002145160215 0.9945953488
 0.00001965715273 0.99531883
 0.00001797975892 0.9959961772
 0.00001641319432 0.9966273308
 0.00001495155902 0.9971968532
 0.00001358925056 0.9977356791
 0.00001232095474 0.9982282519
 0.00001114163024 0.9986900687
 0.00001004652768 0.9991056919
 0.000009031105947 0.9994905591
 0.000008091044037 0.9998446107
 0.000007222245131 1.000167847
 0.000006420820682 1.000445008
