Y_1,X_1,Y_2,X_2,Y_3,X_3,Y_4,X_4,Y_5,X_5,Y_6,X_6,Y_7,X_7
-20,0.9993984103,-20,0.9993985891,-20,0.9993991852,-20,0.9994000793,-20,0.9994021058,-20,0.99940449,-20,0.9994106889
-19.35783958,0.9993738532,-19.41581345,0.9993759394,-19.48291397,0.9993789792,-19.51794815,0.9993813038,-19.55319214,0.999384582,-19.57344627,0.9993876815,-19.60019875,0.9993949533
-18.7364254,0.9993582368,-18.8462429,0.999361515,-18.97425842,0.9993652701,-19.04155731,0.9993678927,-19.10965729,0.9993718266,-19.14902496,0.9993753433,-19.20134163,0.9993832111
-18.13489723,0.9993380308,-18.29092216,0.9993434548,-18.4740715,0.9993503094,-18.57099915,0.9993545413,-18.66966248,0.9993602633,-18.72703552,0.9993649125,-18.80376053,0.9993744493
-17.55247307,0.999317348,-17.74952698,0.9993246198,-17.98239326,0.9993335605,-18.10645103,0.9993389845,-18.23348045,0.9993460178,-18.30778122,0.9993515611,-18.4077816,0.9993624091
-16.98842812,0.9992959499,-17.22174835,0.9993050694,-17.49927711,0.9993163347,-17.64809036,0.9993230104,-17.80137253,0.9993311167,-17.89156151,0.9993374348,-18.01372719,0.9993497729
-16.44208908,0.999274075,-16.707304,0.9992850423,-17.02476883,0.9992984533,-17.1960907,0.9993062019,-17.37360191,0.9993157387,-17.47867012,0.9993229508,-17.62191391,0.9993367195
-15.91282177,0.9992514253,-16.20591736,0.9992642999,-16.55890846,0.9992800355,-16.75061226,0.9992889166,-16.95041656,0.9992998242,-17.06938934,0.9993080497,-17.23264694,0.9993233085
-15.40002155,0.9992282391,-15.71731758,0.9992429614,-16.10173225,0.999260962,-16.31180382,0.9992711544,-16.53205109,0.9992835522,-16.66398811,0.9992927313,-16.84622002,0.999309361
-14.90311527,0.9992042184,-15.24124241,0.9992209077,-15.65326214,0.9992411137,-15.87980366,0.9992527366,-16.11873055,0.9992666245,-16.26272392,0.9992765784,-16.46291733,0.9992948771
-14.4215517,0.9991796613,-14.77742672,0.9991981387,-15.21350479,0.9992207289,-15.45473099,0.9992336631,-15.71065617,0.9992490411,-15.86583424,0.9992600083,-16.083004,0.9992800355
-13.95480156,0.9991542697,-14.32561016,0.9991748333,-14.78246117,0.9991995692,-15.03669357,0.9992141128,-15.3080225,0.9992308021,-15.47354603,0.9992429614,-15.70673084,0.9992648363
-13.50235271,0.9991281629,-13.88552856,0.9991506338,-14.36011124,0.9991778731,-14.6257782,0.9991935492,-14.91099644,0.9992120266,-15.08606339,0.9992254972,-15.33433437,0.9992490411
-13.06371021,0.9991013408,-13.45691967,0.9991257787,-13.94642925,0.9991554022,-14.22205734,0.9991725087,-14.51973534,0.9991927147,-14.703578,0.999207139,-14.96603298,0.9992326498
-12.63839531,0.9990736842,-13.0395174,0.9991001487,-13.54136944,0.9991323352,-13.82558537,0.9991506934,-14.13437462,0.9991726875,-14.32625961,0.9991883039,-14.60202694,0.9992159009
-12.2259388,0.9990451932,-12.63305283,0.9990737438,-13.14487267,0.9991083741,-13.43639946,0.9991282225,-13.75502682,0.9991518855,-13.95425892,0.9991688132,-14.24249649,0.9991987944
