Y_1,X_1,Y_2,X_2,Y_3,X_3,Y_4,X_4,Y_5,X_5,Y_6,X_6,Y_7,X_7
-20,0.9994028211,-20,0.9994029403,-20,0.9994034767,-20,0.999404192,-20,0.9994060397,-20,0.9994081855,-20,0.9994140267
-19.35783958,0.9993828535,-19.41581345,0.9993848801,-19.48291397,0.9993875623,-19.51794815,0.9993895888,-19.55319214,0.9993927479,-19.57344627,0.9993957281,-19.60019875,0.9994028807
-18.7364254,0.9993631244,-18.8462429,0.9993668795,-18.97425842,0.9993715882,-19.04155731,0.9993747473,-19.10965729,0.999379158,-19.14902496,0.9993830919,-19.20134163,0.9993914962
-18.13489723,0.9993429184,-18.29092216,0.999348402,-18.4740715,0.999355197,-18.57099915,0.9993594885,-18.66966248,0.9993652105,-18.72703552,0.9993699789,-18.80376053,0.9993798137
-17.55247307,0.9993224144,-17.74952698,0.9993296266,-17.98239326,0.9993385077,-18.10645103,0.9993438721,-18.23348045,0.9993508458,-18.30778122,0.9993563294,-18.4077816,0.9993673563
-16.98842812,0.9993012547,-17.22174835,0.9993103147,-17.49927711,0.9993214607,-17.64809036,0.9993280768,-17.80137253,0.9993361235,-17.89156151,0.999342382,-18.01372719,0.9993546605
-16.44208908,0.9992794991,-16.707304,0.9992903471,-17.02476883,0.9993036985,-17.1960907,0.9993114471,-17.37360191,0.9993208647,-17.47867012,0.9993280172,-17.62191391,0.9993416667
-15.91282177,0.9992570877,-16.20591736,0.9992698431,-16.55890846,0.9992854595,-16.75061226,0.999294281,-16.95041656,0.9993051291,-17.06938934,0.9993131757,-17.23264694,0.9993283749
-15.40002155,0.9992340207,-15.71731758,0.9992486238,-16.10173225,0.9992664456,-16.31180382,0.9992765188,-16.53205109,0.9992889166,-16.66398811,0.9992979169,-16.84622002,0.9993144274
-14.90311527,0.9992102981,-15.24124241,0.9992267489,-15.65326214,0.9992468357,-15.87980366,0.9992582798,-16.11873055,0.9992721081,-16.26272392,0.9992820024,-16.46291733,0.9993001223
-14.4215517,0.9991859198,-14.77742672,0.999204278,-15.21350479,0.9992265701,-15.45473099,0.9992395043,-15.71065617,0.9992545843,-15.86583424,0.9992655516,-16.083004,0.9992854595
-13.95480156,0.9991607666,-14.32561016,0.9991810918,-14.78246117,0.9992057085,-15.03669357,0.9992200136,-15.3080225,0.9992365837,-15.47354603,0.9992486835,-15.70673084,0.9992703795
-13.50235271,0.9991348982,-13.88552856,0.9991571903,-14.36011124,0.9991841912,-14.6257782,0.999199748,-14.91099644,0.9992179871,-15.08606339,0.9992311597,-15.33433437,0.9992546439
-13.06371021,0.9991083145,-13.45691967,0.999132514,-13.94642925,0.9991618991,-14.22205734,0.9991788268,-14.51973534,0.9991987944,-14.703578,0.9992132187,-14.96603298,0.9992384911
-12.63839531,0.9990808964,-13.0395174,0.9991071224,-13.54136944,0.9991390109,-13.82558537,0.9991572499,-14.13437462,0.9991790652,-14.32625961,0.9991944432,-14.60202694,0.999221921
-12.2259388,0.999052763,-12.63305283,0.999080956,-13.14487267,0.9991152883,-13.43639946,0.9991349578,-13.75502682,0.999158442,-13.95425892,0.9991751909,-14.24249649,0.999204874
-11.82589436,0.9990237355,-12.23726368,0.9990539551,-12.75687408,0.9990907311,-13.05452347,0.99911201,-13.38179779,0.9991372228,-13.58771229,0.9991553426,-13.88761139,0.9991873503
-11.43781471,0.9989938736,-11.85187435,0.9990261197,-12.37728596,0.9990653992,-12.6799593,0.9990882874,-13.01476097,0.9991153479,-13.22673035,0.9991348982,-13.53751278,0.9991692305
-11.06141567,0.998963058,-11.47674465,0.9989973903,-12.00612831,0.9990392327,-12.31279945,0.9990638494,-12.65407372,0.9990928173,-12.87149811,0.9991138577,-13.1924057,0.9991505742
-10.69646168,0.9989314079,-11.11177063,0.9989677668,-11.64344215,0.9990122914,-11.95315456,0.9990383983,-12.29990292,0.9990695715,-12.52220631,0.9990920424,-12.85250282,0.9991314411
-10.34272861,0.9988989234,-10.75684929,0.9989373088,-11.28926182,0.9989845157,-11.60112476,0.9990122914,-11.95240784,0.9990456104,-12.179039,0.9990695715,-12.51800442,0.9991118312
-9.999948502,0.9988654852,-10.41183186,0.9989059567,-10.94357491,0.9989558458,-11.25676632,0.9989852905,-11.6116991,0.9990208745,-11.84213448,0.9990463853,-12.18907261,0.9990917444
-9.667881966,0.9988311529,-10.07658482,0.9988737702,-10.60637569,0.9989264607,-10.92013264,0.9989575744,-11.27788925,0.9989953637,-11.5116291,0.9990226626,-11.86586666,0.9990711212
-9.346258163,0.9987959266,-9.750940323,0.9988405704,-10.2776165,0.998896122,-10.59124088,0.9989289641,-10.95105076,0.9989690781,-11.18762302,0.9989982843,-11.5485096,0.9990499616
-9.034824371,0.9987598062,-9.43474102,0.9988065958,-9.957255363,0.9988648891,-10.27010727,0.9988995194,-10.63125229,0.9989420176,-10.87020969,0.9989732504,-11.23712063,0.9990282655
-8.733310699,0.9987227321,-9.12780571,0.9987716675,-9.645220757,0.9988328218,-9.956716537,0.9988692999,-10.31853104,0.9989143014,-10.55945396,0.9989475608,-10.93178749,0.9990060925
-8.441459656,0.9986847639,-8.829957008,0.9987357259,-9.341436386,0.9987997413,-9.651045799,0.9988382459,-10.01291752,0.9988858104,-10.25541019,0.9989210963,-10.63259029,0.9989834428
-8.159008026,0.9986459017,-8.541007996,0.9986990094,-9.045811653,0.998765707,-9.353055954,0.9988063574,-9.714419365,0.9988565445,-9.958109856,0.998893857,-10.3395853,0.9989603162
-7.885692596,0.9986060858,-8.260766983,0.9986612797,-8.758243561,0.9987308383,-9.062693596,0.9987734556,-9.4230299,0.9988265634,-9.667572021,0.9988660812,-10.05281734,0.9989368916
-7.621260166,0.9985653758,-7.989044189,0.9986225963,-8.478626251,0.9986950159,-8.77989769,0.9987396002,-9.13873291,0.9987957478,-9.383802414,0.9988375306,-9.772315025,0.9989128709
-7.365450859,0.9985237122,-7.72563982,0.9985830188,-8.2068367,0.9986582994,-8.504588127,0.9987049699,-8.861491203,0.9987642169,-9.106786728,0.9988084435,-9.498090744,0.9988882542
-7.118018627,0.9984811544,-7.470360279,0.9985425472,-7.942754745,0.9986206889,-8.236685753,0.9986694455,-8.591265678,0.998731792,-8.836506844,0.9987787008,-9.230148315,0.9988632798
-6.878712177,0.9984377027,-7.223005772,0.998501122,-7.686245441,0.9985821247,-7.976092815,0.9986330271,-8.327997208,0.9986985922,-8.572925568,0.9987482429,-8.968473434,0.9988378286
-6.64729166,0.9983934164,-6.983380318,0.9984587431,-7.437175274,0.9985426068,-7.722711086,0.9985957742,-8.071623802,0.9986646175,-8.315998077,0.9987172484,-8.713047028,0.9988120794
-6.423519135,0.9983481765,-6.75128746,0.9984155297,-7.195402622,0.9985022545,-7.476432323,0.9985576272,-7.822069645,0.9986299276,-8.065670013,0.9986855388,-8.463834763,0.998785913
-6.20716095,0.9983021617,-6.526531219,0.9983713031,-6.960784435,0.9984609485,-7.237142086,0.9985186458,-7.579253197,0.9985944629,-7.821876526,0.9986532927,-8.22079277,0.9987593293
-5.997991562,0.9982552528,-6.30891943,0.998326242,-6.733174324,0.9984187484,-7.004723549,0.9984787703,-7.34308672,0.9985582829,-7.584547043,0.9986202717,-7.98387289,0.9987324476
-5.795789719,0.9982075095,-6.09826088,0.9982802868,-6.512423992,0.9983757138,-6.779053688,0.9984381199,-7.113475323,0.9985214472,-7.353601933,0.9985866547,-7.753014565,0.9987053275
-5.60033989,0.9981590509,-5.894367218,0.9982334375,-6.298384666,0.9983317852,-6.560007095,0.9983965755,-6.890317917,0.9984838367,-7.128956318,0.9985525012,-7.528152466,0.998677671
-5.41143322,0.9981097579,-5.697054386,0.9981858134,-6.09090662,0.9982869625,-6.347455978,0.9983542562,-6.673511505,0.9984455109,-6.910520554,0.9985176921,-7.309215546,0.9986499548
-5.228827953,0.99805969,-5.506103039,0.9981374145,-5.88980484,0.998241365,-6.141235352,0.9983111024,-6.462914944,0.9984065294,-6.698168755,0.9984824061,-7.096097469,0.998621881
-5.052223682,0.9980089068,-5.321236134,0.998088181,-5.694836617,0.9981948733,-5.941126347,0.9982670546,-6.258335114,0.9983667731,-6.491723537,0.9984465241,-6.888644218,0.9985934496
