x/c,cp
1,0.177329585
0.9997505546,0.176106438
0.9994956851,0.1744411141
0.9992352128,0.1733745784
0.9989690781,0.1723519117
0.9986971617,0.1714185774
0.9984192848,0.1705047637
0.9981353879,0.1696097255
0.9978453517,0.1687149405
0.9975489378,0.1678201556
0.9972460866,0.1669235677
0.9969367385,0.1660269946
0.9966205955,0.1651313752
0.9962975979,0.1642375886
0.9959676266,0.1633456498
0.9956305623,0.162455231
0.9952861071,0.1615656465
0.9949342608,0.1606762111
0.9945747852,0.1597861648
0.994207561,0.1588948816
0.9938323498,0.1580018252
0.9934490919,0.157106474
0.9930576086,0.1562084109
0.9926576614,0.1553072184
0.9922491312,0.1544025242
0.9918317795,0.1534939557
0.9914054871,0.1525811553
0.9909700155,0.1516637951
0.9905252457,0.1507415473
0.9900709391,0.149814114
0.9896069169,0.1488812119
0.9891329408,0.1479425579
0.9886488914,0.1469979137
0.9881544709,0.1460470259
0.9876495004,0.1450896859
0.987133801,0.1441256851
0.9866071343,0.1431548446
0.986069262,0.1421769857
0.9855199456,0.1411919594
0.9849590063,0.1401996464
0.9843862057,0.1391999424
0.9838012457,0.138192758
0.9832039475,0.1371780336
0.9825940728,0.1361557245
0.9819713235,0.1351258606
0.9813354611,0.1340884417
0.9806861877,0.1330436021
0.9800233245,0.1319915056
0.9793465734,0.1309324503
0.9786556363,0.1298669875
0.9779502153,0.1287958324
0.9772301316,0.127719909
0.9764949679,0.1266403943
0.9757445455,0.1255588084
0.9749785066,0.1244770437
0.9741965532,0.1233976111
0.9733983874,0.1223237887
0.9725837111,0.1212598681
0.9717522264,0.1202116311
0.9709035754,0.1191859618
0.9700374603,0.1181935444
0.9691535234,0.117246598
0.9682514668,0.1163507998
0.967330873,0.1155083552
0.9663915038,0.1147211865
0.9654329419,0.1139900237
0.9644548297,0.1133151576
0.9634568691,0.1126967072
0.9624387026,0.1121346056
0.9613999128,0.1116283163
0.9603402019,0.1111763194
0.9592591524,0.110775359
0.9581564069,0.1104192287
0.957031548,0.1100979
0.9558842778,0.1097950414
0.954714179,0.1094891205
0.9535208941,0.1091464609
0.952303946,0.1087409407
0.9510630965,0.1081967354
0.9497979283,0.1074943617
0.9485079646,0.1067608893
0.9471927285,0.1060057655
0.945851922,0.1051806062
0.9444850683,0.1042233258
0.9430918097,0.1031714603
0.9416716695,0.1020962074
0.9402241707,0.1010191441
0.9387488365,0.0999442488
0.937245369,0.09887310117
0.935713172,0.09781076014
0.9341518283,0.09675522894
0.9325609803,0.09570447356
0.9309400916,0.0946566388
0.9292888045,0.09361047298
0.927606523,0.09256507456
0.9258929491,0.09151955694
0.9241474867,0.09047275037
0.9223697782,0.08942271024
0.9205593467,0.08836658299
0.9187157154,0.08729892969
0.9168384075,0.08622023463
0.9149270058,0.08512671292
0.9129810929,0.08399431407
0.9110001326,0.08280777931
0.9089837074,0.08158328384
0.9069313407,0.08034457266
0.9048426151,0.07910610735
0.9027169943,0.07787656784
0.9005540609,0.07665911317
0.8983533382,0.07545023412
0.896114409,0.0742449984
0.8938368559,0.0730413124
0.8915202022,0.07183729857
0.8891639709,0.07063215226
0.8867678642,0.06942567229
0.884331286,0.06821789593
