Y_1,X_1,Y_2,X_2,Y_3,X_3,Y_4,X_4,Y_5,X_5,Y_6,X_6,Y_7,X_7
-20,0.9994120598,-20,0.9994122386,-20,0.9994128346,-20,0.9994137287,-20,0.9994157553,-20,0.9994180799,-20,0.9994242191
-19.35783958,0.9993882775,-19.41581345,0.9993901253,-19.48291397,0.9993932247,-19.51794815,0.9993953109,-19.55319214,0.9993987083,-19.57344627,0.9994017482,-19.60019875,0.9994088411
-18.7364254,0.9993728995,-18.8462429,0.9993760586,-18.97425842,0.9993798137,-19.04155731,0.9993823171,-19.10965729,0.9993861914,-19.14902496,0.9993896484,-19.20134163,0.999397397
-18.13489723,0.9993531704,-18.29092216,0.9993585348,-18.4740715,0.9993652105,-18.57099915,0.9993693233,-18.66966248,0.9993748665,-18.72703552,0.999379456,-18.80376053,0.9993888736
-17.55247307,0.9993329644,-17.74952698,0.999340117,-17.98239326,0.9993488789,-18.10645103,0.9993541837,-18.23348045,0.9993610382,-18.30778122,0.9993664622,-18.4077816,0.9993770719
-16.98842812,0.9993121624,-17.22174835,0.9993210435,-17.49927711,0.9993320704,-17.64809036,0.9993385673,-17.80137253,0.9993464947,-17.89156151,0.9993526936,-18.01372719,0.9993647337
-16.44208908,0.9992908239,-16.707304,0.9993014932,-17.02476883,0.9993145466,-17.1960907,0.9993222356,-17.37360191,0.9993315339,-17.47867012,0.9993385673,-17.62191391,0.9993520379
-15.91282177,0.9992688298,-16.20591736,0.9992813468,-16.55890846,0.9992966652,-16.75061226,0.9993054271,-16.95041656,0.9993160367,-17.06938934,0.9993240833,-17.23264694,0.9993389249
-15.40002155,0.9992461205,-15.71731758,0.9992604852,-16.10173225,0.9992780089,-16.31180382,0.9992879629,-16.53205109,0.9993001223,-16.66398811,0.999309063,-16.84622002,0.999325335
-14.90311527,0.999222815,-15.24124241,0.9992389679,-15.65326214,0.999258697,-15.87980366,0.9992700219,-16.11873055,0.9992836118,-16.26272392,0.9992933869,-16.46291733,0.9993112683
-14.4215517,0.9991987348,-14.77742672,0.9992168546,-15.21350479,0.9992388487,-15.45473099,0.9992514849,-15.71065617,0.999266386,-15.86583424,0.9992771745,-16.083004,0.9992967248
-13.95480156,0.9991739988,-14.32561016,0.9991939664,-14.78246117,0.9992182255,-15.03669357,0.9992322922,-15.3080225,0.9992486835,-15.47354603,0.9992606044,-15.70673084,0.9992819428
-13.50235271,0.9991486669,-13.88552856,0.9991704226,-14.36011124,0.9991970658,-14.6257782,0.9992123246,-14.91099644,0.9992303848,-15.08606339,0.9992434382,-15.33433437,0.9992665052
-13.06371021,0.9991224408,-13.45691967,0.9991462827,-13.94642925,0.9991751909,-14.22205734,0.9991918206,-14.51973534,0.9992115498,-14.703578,0.9992256165,-14.96603298,0.9992506504
-12.63839531,0.9990954399,-13.0395174,0.9991211891,-13.54136944,0.9991526008,-13.82558537,0.9991706014,-14.13437462,0.9991919994,-14.32625961,0.9992072582,-14.60202694,0.9992343187
-12.2259388,0.9990676641,-12.63305283,0.9990954995,-13.14487267,0.9991292357,-13.43639946,0.9991486669,-13.75502682,0.9991718531,-13.95425892,0.9991882443,-14.24249649,0.9992175102
-11.82589436,0.9990391135,-12.23726368,0.9990688562,-12.75687408,0.9991050959,-13.05452347,0.9991260171,-13.38179779,0.9991509318,-13.58771229,0.999168694,-13.88761139,0.9992002845
-11.43781471,0.9990097284,-11.85187435,0.9990414977,-12.37728596,0.9990801811,-12.6799593,0.9991027713,-13.01476097,0.9991294146,-13.22673035,0.9991486073,-13.53751278,0.9991823435
-11.06141567,0.9989794493,-11.47674465,0.9990133047,-12.00612831,0.9990544915,-12.31279945,0.9990786314,-12.65407372,0.9991071224,-12.87149811,0.9991278648,-13.1924057,0.9991640449
-10.69646168,0.9989483953,-11.11177063,0.9989842176,-11.64344215,0.9990279675,-11.95315456,0.9990536571,-12.29990292,0.9990842938,-12.52220631,0.9991064668,-12.85250282,0.9991452098
-10.34272861,0.9989164472,-10.75684929,0.9989541769,-11.28926182,0.9990006685,-11.60112476,0.9990279078,-11.95240784,0.99906075,-12.179039,0.9990843534,-12.51800442,0.9991258979
-9.999948502,0.998883605,-10.41183186,0.9989233613,-10.94357491,0.9989725351,-11.25676632,0.9990013838,-11.6116991,0.9990363717,-11.84213448,0.9990615845,-12.18907261,0.9991062284
-9.667881966,0.9988499284,-10.07658482,0.9988917112,-10.60637569,0.9989435673,-10.92013264,0.9989740849,-11.27788925,0.9990113378,-11.5116291,0.9990381598,-11.86586666,0.9990858436
-9.346258163,0.9988152981,-9.750940323,0.9988591671,-10.2776165,0.998913765,-10.59124088,0.9989460111,-10.95105076,0.9989854693,-11.18762302,0.9990141988,-11.5485096,0.9990651011
-9.034824371,0.9987797737,-9.43474102,0.9988257885,-9.957255363,0.9988830686,-10.27010727,0.9989171028,-10.63125229,0.9989588857,-10.87020969,0.9989896417,-11.23712063,0.9990437627
