Y_1,X_1,Y_2,X_2,Y_3,X_3,Y_4,X_4,Y_5,X_5,Y_6,X_6,Y_7,X_7
-0.8,9.44E-01,-0.9,9.47E-01,-1,9.79E-01,-1.6,9.93E-01,-1.6,9.88E-01,-2.2,9.87E-01,-2.8,9.88E-01
-0.7,9.42E-01,-0.8,9.45E-01,-0.99,9.80E-01,-1.4,9.92E-01,-1.4,9.85E-01,-2,9.87E-01,-2.4,9.85E-01
-0.6,9.40E-01,-0.7,9.43E-01,-0.9,9.77E-01,-1.2,9.91E-01,-1.2,9.85E-01,-1.8,9.86E-01,-2,9.85E-01
-0.5,9.23E-01,-0.6,9.42E-01,-0.8,9.77E-01,-1,9.93E-01,-1,9.64E-01,-1.6,9.86E-01,-1.8,9.83E-01
-0.4,8.67E-01,-0.5,9.20E-01,-0.7,9.74E-01,-0.8,9.83E-01,-0.8,9.26E-01,-1.4,9.82E-01,-1.6,9.79E-01
-0.35,8.31E-01,-0.4,8.63E-01,-0.6,9.55E-01,-0.7,9.57E-01,-0.6,8.78E-01,-1.2,9.72E-01,-1.4,9.69E-01
-0.3,7.88E-01,-0.35,8.31E-01,-0.5,9.08E-01,-0.6,9.17E-01,-0.5,8.57E-01,-1,9.53E-01,-1.2,9.57E-01
-0.25,7.43E-01,-0.3,7.93E-01,-0.4,8.48E-01,-0.5,8.71E-01,-0.4,8.46E-01,-0.8,9.25E-01,-1,9.43E-01
-0.2,6.95E-01,-0.25,7.50E-01,-0.35,8.18E-01,-0.4,8.24E-01,-0.3,8.38E-01,-0.6,8.97E-01,-0.8,9.27E-01
-0.15,6.41E-01,-0.2,7.06E-01,-0.3,7.83E-01,-0.35,8.03E-01,-0.25,8.41E-01,-0.5,8.85E-01,-0.6,9.13E-01
-0.1,5.87E-01,-0.15,6.57E-01,-0.25,7.50E-01,-0.3,7.87E-01,-0.2,8.43E-01,-0.4,8.76E-01,-0.4,9.07E-01
-0.075,5.60E-01,-0.1,6.03E-01,-0.2,7.22E-01,-0.25,7.75E-01,-0.15,8.47E-01,-0.3,8.72E-01,-0.3,9.03E-01
-0.05,5.17E-01,-0.075,5.80E-01,-0.15,7.00E-01,-0.2,7.68E-01,-0.1,8.56E-01,-0.2,8.71E-01,-0.2,9.02E-01
-0.025,4.61E-01,-0.05,5.52E-01,-0.125,6.94E-01,-0.15,7.68E-01,-0.05,8.64E-01,-0.1,8.75E-01,-0.1,9.03E-01
0,3.91E-01,-0.025,5.39E-01,-0.1,6.89E-01,-0.1,7.73E-01,0,8.74E-01,0,8.83E-01,0,9.06E-01
0.025,3.86E-01,0,5.31E-01,-0.075,6.89E-01,-0.05,7.86E-01,0.05,8.83E-01,0.1,8.96E-01,0.1,9.09E-01
0.05,4.20E-01,0.025,5.34E-01,-0.05,6.91E-01,0,8.00E-01,0.1,8.95E-01,0.2,9.07E-01,0.2,9.15E-01
0.075,4.50E-01,0.05,5.48E-01,0,7.03E-01,0.05,8.20E-01,0.15,9.05E-01,0.3,9.21E-01,0.4,9.32E-01
0.1,4.83E-01,0.1,5.86E-01,0.05,7.25E-01,0.1,8.40E-01,0.2,9.20E-01,0.4,9.35E-01,0.5,9.48E-01
0.15,5.41E-01,0.15,6.35E-01,0.1,7.55E-01,0.2,8.84E-01,0.25,9.31E-01,0.6,9.59E-01,0.6,9.45E-01
0.2,6.00E-01,0.2,6.82E-01,0.15,7.84E-01,0.3,9.27E-01,0.3,9.39E-01,0.8,9.76E-01,0.8,9.57E-01
0.25,6.56E-01,0.25,7.30E-01,0.2,8.17E-01,0.4,9.59E-01,0.4,9.58E-01,1,9.82E-01,1,9.67E-01
0.3,7.08E-01,0.3,7.75E-01,0.25,8.53E-01,0.5,9.79E-01,0.5,9.71E-01,1.2,9.84E-01,1.2,9.74E-01
0.35,7.62E-01,0.35,8.17E-01,0.3,8.83E-01,0.6,9.87E-01,0.6,9.81E-01,1.4,9.86E-01,1.4,9.79E-01
0.4,8.08E-01,0.4,8.56E-01,0.35,9.16E-01,0.8,9.88E-01,0.8,9.86E-01,1.6,9.87E-01,1.6,9.80E-01
0.5,8.90E-01,0.5,9.14E-01,0.4,9.43E-01,1,9.88E-01,1,9.87E-01,1.8,9.86E-01,1.8,9.82E-01
0.6,9.32E-01,0.6,9.35E-01,0.5,9.76E-01,1.2,9.89E-01,1.2,9.87E-01,2,9.87E-01,2,9.84E-01
0.7,9.41E-01,0.7,9.39E-01,0.6,9.83E-01,,,1.4,9.87E-01,,,2.4,9.84E-01
0.8,9.46E-01,0.8,9.41E-01,0.7,9.86E-01,,,1.6,9.87E-01,,,,
0.9,9.48E-01,0.9,9.43E-01,0.8,9.85E-01,,,,,,,,
,,,,0.9,9.85E-01,,,,,,,,
