Y_1,X_1,Y_2,X_2,Y_3,X_3,Y_4,X_4,Y_5,X_5,Y_6,X_6,Y_7,X_7
-20,0.9994158149,-20,0.9994159341,-20,0.9994164109,-20,0.9994171858,-20,0.9994189143,-20,0.9994210601,-20,0.9994267821
-19.35783958,0.9993963838,-19.41581345,0.9993982315,-19.48291397,0.9994009137,-19.51794815,0.9994028211,-19.55319214,0.9994059205,-19.57344627,0.9994089603,-19.60019875,0.9994159937
-18.7364254,0.9993770123,-18.8462429,0.9993806481,-18.97425842,0.9993852377,-19.04155731,0.9993883371,-19.10965729,0.9993927479,-19.14902496,0.9993965626,-19.20134163,0.9994049072
-18.13489723,0.9993572235,-18.29092216,0.9993625879,-18.4740715,0.9993692636,-18.57099915,0.999373436,-18.66966248,0.9993790984,-18.72703552,0.9993837476,-18.80376053,0.9993934631
-17.55247307,0.999337256,-17.74952698,0.9993442893,-17.98239326,0.999352932,-18.10645103,0.9993582368,-18.23348045,0.9993650913,-18.30778122,0.9993704557,-18.4077816,0.9993811846
-16.98842812,0.9993165731,-17.22174835,0.9993254542,-17.49927711,0.9993362427,-17.64809036,0.99934268,-17.80137253,0.9993506074,-17.89156151,0.9993567467,-18.01372719,0.9993687868
-16.44208908,0.9992952347,-16.707304,0.9993059039,-17.02476883,0.9993189573,-17.1960907,0.9993264675,-17.37360191,0.9993357658,-17.47867012,0.9993427396,-17.62191391,0.9993561506
-15.91282177,0.9992734194,-16.20591736,0.9992858171,-16.55890846,0.9993010759,-16.75061226,0.9993097782,-16.95041656,0.9993203878,-17.06938934,0.9993283749,-17.23264694,0.9993431568
-15.40002155,0.9992508888,-15.71731758,0.9992651343,-16.10173225,0.9992824793,-16.31180382,0.9992924929,-16.53205109,0.999304533,-16.66398811,0.9993133545,-16.84622002,0.999329567
-14.90311527,0.9992277026,-15.24124241,0.9992437959,-15.65326214,0.9992633462,-15.87980366,0.9992746115,-16.11873055,0.9992880821,-16.26272392,0.9992977977,-16.46291733,0.9993156195
-14.4215517,0.9992039204,-14.77742672,0.9992218018,-15.21350479,0.9992436171,-15.45473099,0.9992561936,-15.71065617,0.9992710352,-15.86583424,0.9992818236,-16.083004,0.9993012547
-13.95480156,0.9991793633,-14.32561016,0.9991992116,-14.78246117,0.9992232919,-15.03669357,0.9992372394,-15.3080225,0.9992534518,-15.47354603,0.9992652535,-15.70673084,0.9992865324
-13.50235271,0.9991542101,-13.88552856,0.9991759062,-14.36011124,0.9992021918,-14.6257782,0.9992174506,-14.91099644,0.9992352724,-15.08606339,0.9992482662,-15.33433437,0.999271214
-13.06371021,0.9991282225,-13.45691967,0.9991518855,-13.94642925,0.9991805553,-14.22205734,0.9991970658,-14.51973534,0.9992166162,-14.703578,0.9992306828,-14.96603298,0.9992554188
-12.63839531,0.9991015196,-13.0395174,0.99912709,-13.54136944,0.999158144,-13.82558537,0.9991760254,-14.13437462,0.9991973042,-14.32625961,0.9992123842,-14.60202694,0.9992392659
-12.2259388,0.9990740418,-12.63305283,0.9991015196,-13.14487267,0.9991350174,-13.43639946,0.9991542697,-13.75502682,0.9991772771,-13.95425892,0.9991935492,-14.24249649,0.9992226362
-11.82589436,0.9990457296,-12.23726368,0.9990752339,-12.75687408,0.9991111159,-13.05452347,0.9991318583,-13.38179779,0.9991565347,-13.58771229,0.9991742373,-13.88761139,0.9992055297
-11.43781471,0.9990165234,-11.85187435,0.9990480542,-12.37728596,0.99908638,-12.6799593,0.9991087317,-13.01476097,0.9991351962,-13.22673035,0.9991542697,-13.53751278,0.9991878271
-11.06141567,0.9989866018,-11.47674465,0.9990199804,-12.00612831,0.9990608692,-12.31279945,0.9990848303,-12.65407372,0.9991132021,-12.87149811,0.9991337061,-13.1924057,0.9991696477
-10.69646168,0.9989557266,-11.11177063,0.9989911318,-11.64344215,0.9990345836,-11.95315456,0.9990600944,-12.29990292,0.9990904927,-12.52220631,0.9991124272,-12.85250282,0.9991509914
-10.34272861,0.998924017,-10.75684929,0.9989614487,-11.28926182,0.9990074635,-11.60112476,0.9990345836,-11.95240784,0.9990671873,-12.179039,0.9990905523,-12.51800442,0.999131918
-9.999948502,0.9988914728,-10.41183186,0.9989309311,-10.94357491,0.9989795685,-11.25676632,0.9990082979,-11.6116991,0.9990430474,-11.84213448,0.9990679622,-12.18907261,0.999112308
-9.667881966,0.9988580346,-10.07658482,0.9988995194,-10.60637569,0.9989508986,-10.92013264,0.9989812374,-11.27788925,0.9990181327,-11.5116291,0.9990448356,-11.86586666,0.9990921617
-9.346258163,0.9988237023,-9.750940323,0.9988672137,-10.2776165,0.9989213347,-10.59124088,0.998953402,-10.95105076,0.9989925027,-11.18762302,0.9990210533,-11.5485096,0.9990714788
-9.034824371,0.9987885952,-9.43474102,0.9988341331,-9.957255363,0.9988909364,-10.27010727,0.9989247322,-10.63125229,0.998966217,-10.87020969,0.998996675,-11.23712063,0.9990503192
-8.733310699,0.9987525344,-9.12780571,0.9988000989,-9.645220757,0.9988597035,-9.956716537,0.9988952875,-10.31853104,0.9989391565,-10.55945396,0.9989716411,-10.93178749,0.9990287423
-8.441459656,0.9987155795,-8.829957008,0.9987652302,-9.341436386,0.998827517,-9.651045799,0.998865068,-10.01291752,0.9989114404,-10.25541019,0.9989458323,-10.63259029,0.9990066886
-8.159008026,0.9986777306,-8.541007996,0.9987294078,-9.045811653,0.9987944365,-9.353055954,0.9988339543,-9.714419365,0.9988828897,-9.958109856,0.9989193678,-10.3395853,0.9989842176
-7.885692596,0.9986389875,-8.260766983,0.9986926913,-8.758243561,0.9987604618,-9.062693596,0.998801887,-9.4230299,0.9988536835,-9.667572021,0.9988922477,-10.05281734,0.9989613295
-7.621260166,0.9985994697,-7.989044189,0.9986551404,-8.478626251,0.9987255931,-8.77989769,0.9987690449,-9.13873291,0.9988237619,-9.383802414,0.9988645315,-9.772315025,0.9989379048
-7.365450859,0.9985589981,-7.72563982,0.9986166954,-8.2068367,0.9986898899,-8.504588127,0.9987353086,-8.861491203,0.9987930059,-9.106786728,0.9988362193,-9.498090744,0.9989140034
-7.118018627,0.9985176921,-7.470360279,0.9985772967,-7.942754745,0.9986532927,-8.236685753,0.998700738,-8.591265678,0.9987614155,-8.836506844,0.9988071918,-9.230148315,0.9988896251
-6.878712177,0.998475492,-7.223005772,0.9985370636,-7.686245441,0.9986158013,-7.976092815,0.9986653924,-8.327997208,0.9987291694,-8.572925568,0.9987775683,-8.968473434,0.9988649487
