"x","cf"
  1.000000000000000E-003,  9.484483881788620E-003
  2.001968367040000E-003,  5.809713097037940E-003
  3.005924417460000E-003,  5.583977518808550E-003
  4.011887597850000E-003,  5.427359522605260E-003
  5.019877486630000E-003,  5.293891980575120E-003
  6.029913795760000E-003,  5.187444602842290E-003
  7.042016372410000E-003,  5.102215924929190E-003
  8.056205200680001E-003,  5.033467601258430E-003
  9.072500403280000E-003,  4.976543616024960E-003
  1.009092224330000E-002,  4.928131444679180E-003
  1.111149112600000E-002,  4.885812735392580E-003
  1.213422760060000E-002,  4.847974560566640E-003
  1.315915236190000E-002,  4.813514420455700E-003
  1.418628625240000E-002,  4.781685502473690E-003
  1.521565026420000E-002,  4.751963520586210E-003
  1.624726554020000E-002,  4.723973712521960E-003
  1.728115337710000E-002,  4.697439497981690E-003
  1.831733522620000E-002,  4.672151868482450E-003
  1.935583269620000E-002,  4.647948663395930E-003
  2.039666755470000E-002,  4.624701511065980E-003
  2.143986173040000E-002,  4.602307030994080E-003
  2.248543731500000E-002,  4.580680858406240E-003
  2.353341656520000E-002,  4.559753183619020E-003
  2.458382190520000E-002,  4.539465507289070E-003
  2.563667592810000E-002,  4.519768298929910E-003
  2.669200139860000E-002,  4.500619183147860E-003
  2.774982125500000E-002,  4.481981579295200E-003
  2.881015861120000E-002,  4.463823531309750E-003
  2.987303675910000E-002,  4.446116709584670E-003
  3.093847917080000E-002,  4.428835909058760E-003
  3.200650950080000E-002,  4.411958554345510E-003
  3.307715158840000E-002,  4.395464180123700E-003
  3.415042945990000E-002,  4.379334144218310E-003
  3.522636733110000E-002,  4.363551385691570E-003
  3.630498960970000E-002,  4.348100284266070E-003
  3.738632089750000E-002,  4.332966540948050E-003
  3.847038599290000E-002,  4.318136966380850E-003
  3.955720989380000E-002,  4.303599318526230E-003
  4.064681779960000E-002,  4.289342177332060E-003
  4.173923511390000E-002,  4.275354855499320E-003
  4.283448744720000E-002,  4.261627373712610E-003
  4.393260061960000E-002,  4.248150366005420E-003
  4.503360066310000E-002,  4.234914980198620E-003
