"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      
          0,           0,           0,      -5.282884979,      -2.801125983,      -13.10007043,      0.1674116651,      -4.747311905,     0.09988053893,     -0.4000518588,                 0,                 0,                 0,     -0.3000457532,     0.09988053893,     -0.4000518588,                 0,      -4.005303366
          0,           0,           1,      -1.903284301,      0.1442661367,      0.6030941454,       3.587076385,      -5.168341159,     0.04973399616,     -0.1668268639,                 0,                 0,                 0,     -0.1248000586,     0.04973399616,     -0.1668268639,                 0,      -3.354382852
          0,           0,           2,      -2.495634949,     -0.2302772404,      0.4690185411,       2.971594876,      -6.021076526,     0.03287690708,    -0.06477728846,                 0,                 0,                 0,    -0.04835855519,     0.03287690708,    -0.06477728846,                 0,      -1.970297519
          0,           0,           3,      -2.401530991,     -0.5497705597,     -0.4331175277,       3.074880829,      -6.190961191,     0.02450769061,   -0.009925910839,                 0,                 0,                 0,   -0.007359302866,     0.02450769061,   -0.009925910839,                 0,     -0.4050120837
          0,           0,           4,       -2.90086976,     -0.7270548392,     -0.4047673692,       2.575131932,      -6.454802887,     0.02004936771,     0.00741031624,                 0,                 0,                 0,    0.005590977198,     0.02004936771,     0.00741031624,                 0,      0.3696034881
          0,           0,           5,      -3.387540725,      -0.833520461,      -0.891703427,       2.095253886,      -6.746471198,     0.01727859324,    0.006959970655,                 0,                 0,                 0,    0.005249009727,     0.01727859324,    0.006959970655,                 0,      0.4028088721
          0,           0,           6,      -3.668257842,     -0.9151981748,      -1.227563021,       1.817985734,      -6.908148313,     0.01531608916,    0.004333879665,                 0,                 0,                 0,     0.00327682991,     0.01531608916,    0.004333879665,                 0,      0.2829625513
          0,           0,           7,      -3.843585276,     -0.9808807449,       -1.50797496,       1.647618811,      -6.949396633,     0.01382861853,    0.003313224693,                 0,                 0,                 0,    0.002501282481,     0.01382861853,    0.003313224693,                 0,      0.2395918786
          0,           0,           8,      -4.053906058,       -1.03692634,      -1.656583864,       1.440252769,      -6.956912037,     0.01265579974,    0.002871057824,                 0,                 0,                 0,    0.002159672289,     0.01265579974,    0.002871057824,                 0,      0.2268570839
          0,           0,           9,      -4.154073946,      -1.085176959,      -1.837950607,        1.33816069,      -6.962035157,     0.01170297513,    0.002416362979,                 0,                 0,                 0,    0.001812219823,     0.01170297513,    0.002416362979,                 0,      0.2064742471
          0,           0,          10,      -4.234528057,      -1.127650117,      -1.957105971,       1.257260053,      -6.961917842,     0.01091049859,    0.002030551187,                 0,                 0,                 0,    0.001518650552,     0.01091049859,    0.002030551187,                 0,      0.1861098437
          0,           0,          11,      -4.307569407,      -1.165696135,      -2.058140145,       1.184228377,      -6.963252318,     0.01023923676,    0.001757633554,                 0,                 0,                 0,    0.001309701007,     0.01023923676,    0.001757633554,                 0,      0.1716566961
          0,           0,          12,      -4.372046312,      -1.200208666,      -2.143271977,       1.119411065,      -6.961596733,    0.009662370779,    0.001547068398,                 0,                 0,                 0,    0.001146849645,    0.009662370779,    0.001547068398,                 0,      0.1601127128
          0,           0,          13,      -4.427534435,      -1.231807617,       -2.21901374,        1.06334047,      -6.957716309,    0.009160775226,    0.001371397676,                 0,                 0,                 0,    0.001010102227,    0.009160775226,    0.001371397676,                 0,      0.1497032339
          0,           0,          14,      -4.477777338,      -1.260964022,      -2.287882814,       1.012534047,      -6.953530879,     0.00872037773,    0.001227302647,                 0,                 0,                 0,   0.0008973757981,     0.00872037773,    0.001227302647,                 0,      0.1407396198
          0,           0,          15,      -4.524400311,      -1.288041234,      -2.351573975,      0.9653932724,      -6.947001349,    0.008330581001,    0.001109356714,                 0,                 0,                 0,   0.0008045727271,    0.008330581001,    0.001109356714,                 0,       0.133166788
          0,           0,          16,      -4.567952681,      -1.313313446,      -2.410776101,      0.9213266008,      -6.935423544,    0.007983253643,    0.001010363165,                 0,                 0,                 0,   0.0007262015993,    0.007983253643,    0.001010363165,                 0,      0.1265603237
          0,           0,          17,       -4.60895516,      -1.336986236,       -2.46637144,      0.8798057315,      -6.923306189,    0.007672049513,   0.0009261968355,                 0,                 0,                 0,   0.0006591442401,    0.007672049513,   0.0009261968355,                 0,      0.1207235217
          0,           0,          18,       -4.64792696,      -1.359210239,      -2.518896431,      0.8403071184,      -6.909199758,    0.007391943572,   0.0008544935794,                 0,                 0,                 0,   0.0006016125188,    0.007391943572,   0.0008544935794,                 0,      0.1155979576
