"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Turb_Kin_Energy","Omega","Pressure","Temperature","Mach","Pressure_Coefficient","Laminar_Viscosity","Skin_Friction_Coefficient_x","Skin_Friction_Coefficient_y","Heat_Flux","Y_Plus","Eddy_Viscosity"
6, 0.000000000000000e+00, 0.000000000000000e+00, 1.316825632074339e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.862072846978765e+05, 0.000000000000000e+00, 1.631072724109057e+08, 1.144829138791506e+05, 3.028605792013446e+02, 0.000000000000000e+00, 8.819656522787529e-03, 1.859420463257746e-05, 8.086424817074431e-03, 0.000000000000000e+00, -1.844275362961154e+02, 2.613879827554347e+00, 0.000000000000000e+00
7, 1.624726554020000e-02, 0.000000000000000e+00, 1.318868562132909e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.861809973554547e+05, 0.000000000000000e+00, 1.627067955095382e+08, 1.144723989421819e+05, 3.023636737415563e+02, 0.000000000000000e+00, 5.538588732206393e-03, 1.857079150852626e-05, 4.412024688453173e-03, 0.000000000000000e+00, -4.963244471297863e+01, 1.934684364031140e+00, 0.000000000000000e+00
8, 3.307715158840000e-02, 0.000000000000000e+00, 1.319608162859341e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.861926338149789e+05, 0.000000000000000e+00, 1.625549997511244e+08, 1.144770535259916e+05, 3.022064955629240e+02, 0.000000000000000e+00, 6.990999247080130e-03, 1.856338170094878e-05, 4.243040174223926e-03, 0.000000000000000e+00, -4.047178915071400e+01, 1.898562002813635e+00, 0.000000000000000e+00
9, 5.058283026210000e-02, 0.000000000000000e+00, 1.319755214174158e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.861868546477053e+05, 0.000000000000000e+00, 1.625215532884417e+08, 1.144747418590821e+05, 3.021667208963328e+02, 0.000000000000000e+00, 6.269669593678628e-03, 1.856150631678418e-05, 4.110522609539735e-03, 0.000000000000000e+00, -3.801068991336490e+01, 1.868972053181676e+00, 0.000000000000000e+00
10, 6.886997564640000e-02, 0.000000000000000e+00, 1.319794532666662e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.861847009957500e+05, 0.000000000000000e+00, 1.625135567910548e+08, 1.144738803983000e+05, 3.021554450964856e+02, 0.000000000000000e+00, 6.000860447834527e-03, 1.856097463846892e-05, 3.941119705498802e-03, 0.000000000000000e+00, -3.494512582150796e+01, 1.830134504823927e+00, 0.000000000000000e+00
11, 8.805956585650000e-02, 0.000000000000000e+00, 1.319801142412256e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.861827654414006e+05, 0.000000000000000e+00, 1.625125798485354e+08, 1.144731061765602e+05, 3.021518883013458e+02, 0.000000000000000e+00, 5.759273263759156e-03, 1.856080692588876e-05, 3.787796568802815e-03, 0.000000000000000e+00, -3.227853320312362e+01, 1.794202803619768e+00, 0.000000000000000e+00
12, 1.082913833170000e-01, 0.000000000000000e+00, 1.319801032668094e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.861812732381109e+05, 0.000000000000000e+00, 1.625129707603495e+08, 1.144725092952443e+05, 3.021503379568813e+02, 0.000000000000000e+00, 5.573023163908653e-03, 1.856073382262252e-05, 3.663379909780873e-03, 0.000000000000000e+00, -3.019225386446924e+01, 1.764496819822003e+00, 0.000000000000000e+00
13, 1.297284369870000e-01, 0.000000000000000e+00, 1.319794926132471e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.861799033008835e+05, 0.000000000000000e+00, 1.625145118330862e+08, 1.144719613203534e+05, 3.021502895837617e+02, 0.000000000000000e+00, 5.402033763775618e-03, 1.856073154168581e-05, 3.560995730496623e-03, 0.000000000000000e+00, -2.852762342191136e+01, 1.739661191946066e+00, 0.000000000000000e+00
14, 1.525626141330000e-01, 0.000000000000000e+00, 1.319788898286826e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.861786016532758e+05, 0.000000000000000e+00, 1.625159230389374e+08, 1.144714406613103e+05, 3.021502952959229e+02, 0.000000000000000e+00, 5.239567966659061e-03, 1.856073181103124e-05, 3.474129178133953e-03, 0.000000000000000e+00, -2.715239720018275e+01, 1.718307684094300e+00, 0.000000000000000e+00
15, 1.770219906140000e-01, 0.000000000000000e+00, 1.319781259710521e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.861773796575006e+05, 0.000000000000000e+00, 1.625176276675628e+08, 1.144709518630002e+05, 3.021507538660069e+02, 0.000000000000000e+00, 5.087043952871453e-03, 1.856075343396960e-05, 3.397269490023790e-03, 0.000000000000000e+00, -2.596385425895279e+01, 1.699187042225422e+00, 0.000000000000000e+00
