"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Nu_Tilde","Pressure","Temperature","Mach","Pressure_Coefficient","Laminar_Viscosity","Skin_Friction_Coefficient_x","Skin_Friction_Coefficient_y","Heat_Flux","Y_Plus","Eddy_Viscosity"
48, 0.000000000000000e+00, 0.000000000000000e+00, 1.318305648314314e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.862729219627114e+05, 0.000000000000000e+00, 1.145091687850845e+05, 3.025899465515822e+02, 0.000000000000000e+00, 1.701220455812400e-02, 1.858145532638653e-05, 1.886156930763538e-02, 0.000000000000000e+00, -1.185034164408252e+02, 4.806345043085793e-01, 0.000000000000000e+00
49, 2.001968367040000e-03, 0.000000000000000e+00, 1.318830221114341e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.861619525542477e+05, 0.000000000000000e+00, 1.144647810216990e+05, 3.023523417426287e+02, 0.000000000000000e+00, 3.161502345310543e-03, 1.857025735008084e-05, 5.422405671303129e-03, 0.000000000000000e+00, -1.328225772577617e+01, 2.579112154985957e-01, 0.000000000000000e+00
50, 4.011887597850000e-03, 0.000000000000000e+00, 1.319561273699448e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.861982785807831e+05, 0.000000000000000e+00, 1.144793114323132e+05, 3.022231949682217e+02, 0.000000000000000e+00, 7.695553513850641e-03, 1.856416904565008e-05, 4.851739797003165e-03, 0.000000000000000e+00, -6.499143268450537e+00, 2.441100835301717e-01, 0.000000000000000e+00
51, 6.029913795760000e-03, 0.000000000000000e+00, 1.319858492980764e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.862006064970447e+05, 0.000000000000000e+00, 1.144802425988178e+05, 3.021575949556307e+02, 0.000000000000000e+00, 7.986113546220553e-03, 1.856107600971731e-05, 4.831845024525732e-03, 0.000000000000000e+00, -6.445168359310857e+00, 2.436771109918761e-01, 0.000000000000000e+00
52, 8.056205200680001e-03, 0.000000000000000e+00, 1.320009888218891e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.862066408606234e+05, 0.000000000000000e+00, 1.144826563442493e+05, 3.021293098209226e+02, 0.000000000000000e+00, 8.739295654067813e-03, 1.855974226657157e-05, 4.831320291140534e-03, 0.000000000000000e+00, -6.444245522751470e+00, 2.436953647199636e-01, 0.000000000000000e+00
53, 1.009092224330000e-02, 0.000000000000000e+00, 1.320071766167022e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.862093613069759e+05, 0.000000000000000e+00, 1.144837445227904e+05, 3.021180192643273e+02, 0.000000000000000e+00, 9.078849526045785e-03, 1.855920986028668e-05, 4.811359542492415e-03, 0.000000000000000e+00, -6.391277306736358e+00, 2.432041027516716e-01, 0.000000000000000e+00
54, 1.213422760060000e-02, 0.000000000000000e+00, 1.320093606291778e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.862106612640333e+05, 0.000000000000000e+00, 1.144842645056133e+05, 3.021143931014246e+02, 0.000000000000000e+00, 9.241104316266699e-03, 1.855903886648779e-05, 4.772876942172583e-03, 0.000000000000000e+00, -6.289508915787316e+00, 2.422337784902633e-01, 0.000000000000000e+00
55, 1.418628625240000e-02, 0.000000000000000e+00, 1.320097740007951e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.862110045880041e+05, 0.000000000000000e+00, 1.144844018352016e+05, 3.021138094692415e+02, 0.000000000000000e+00, 9.283956469378464e-03, 1.855901134488274e-05, 4.726342396906210e-03, 0.000000000000000e+00, -6.167483865677736e+00, 2.410507567782094e-01, 0.000000000000000e+00
56, 1.624726554020000e-02, 0.000000000000000e+00, 1.320094510679337e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.862108803287752e+05, 0.000000000000000e+00, 1.144843521315100e+05, 3.021144173622070e+02, 0.000000000000000e+00, 9.268446991567413e-03, 1.855904001052228e-05, 4.678612665088868e-03, 0.000000000000000e+00, -6.043545042251023e+00, 2.398298595060916e-01, 0.000000000000000e+00
57, 1.831733522620000e-02, 0.000000000000000e+00, 1.320087976946765e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.862105056576175e+05, 0.000000000000000e+00, 1.144842022630470e+05, 3.021155171756862e+02, 0.000000000000000e+00, 9.221682223652309e-03, 1.855909187296366e-05, 4.632671571264361e-03, 0.000000000000000e+00, -5.925427905212418e+00, 2.386482064551774e-01, 0.000000000000000e+00
58, 2.039666755470000e-02, 0.000000000000000e+00, 1.320079853200963e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.862099974303055e+05, 0.000000000000000e+00, 1.144839989721222e+05, 3.021168399153900e+02, 0.000000000000000e+00, 9.158247577544330e-03, 1.855915424751854e-05, 4.589267677759770e-03, 0.000000000000000e+00, -5.814899182106299e+00, 2.375260887368041e-01, 0.000000000000000e+00
59, 2.248543731500000e-02, 0.000000000000000e+00, 1.320070969616040e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.862094155011739e+05, 0.000000000000000e+00, 1.144837662004696e+05, 3.021182587735161e+02, 0.000000000000000e+00, 9.085613801969324e-03, 1.855922115444511e-05, 4.548321046967834e-03, 0.000000000000000e+00, -5.711578970988934e+00, 2.364624318979531e-01, 0.000000000000000e+00
60, 2.458382190520000e-02, 0.000000000000000e+00, 1.320061799727638e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.862087942964010e+05, 0.000000000000000e+00, 1.144835177185604e+05, 3.021197017173433e+02, 0.000000000000000e+00, 9.008077817572239e-03, 1.855928919698713e-05, 4.509566994788674e-03, 0.000000000000000e+00, -5.614643096558602e+00, 2.354512045980503e-01, 0.000000000000000e+00
61, 2.669200139860000e-02, 0.000000000000000e+00, 1.320052627215502e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.862081545405352e+05, 0.000000000000000e+00, 1.144832618162141e+05, 3.021211256991928e+02, 0.000000000000000e+00, 8.928226369250163e-03, 1.855935634521479e-05, 4.472757631048390e-03, 0.000000000000000e+00, -5.523339269764329e+00, 2.344866367504045e-01, 0.000000000000000e+00
62, 2.881015861120000e-02, 0.000000000000000e+00, 1.320043617995942e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.862075092350619e+05, 0.000000000000000e+00, 1.144830036940248e+05, 3.021225064693427e+02, 0.000000000000000e+00, 8.847682243880810e-03, 1.855942145563633e-05, 4.437691616919868e-03, 0.000000000000000e+00, -5.437055818536384e+00, 2.335640346786627e-01, 0.000000000000000e+00
63, 3.093847917080000e-02, 0.000000000000000e+00, 1.320034863282844e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.862068666526016e+05, 0.000000000000000e+00, 1.144827466610406e+05, 3.021238318824475e+02, 0.000000000000000e+00, 8.767477992738996e-03, 1.855948395555168e-05, 4.404204333024137e-03, 0.000000000000000e+00, -5.355291221110408e+00, 2.326795614407179e-01, 0.000000000000000e+00
